OBJECTID,globe_中文名,name_cn,gb_yq_20200328xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,维尔京群岛,维尔京群岛,170,维尔京群岛,2,0,0,0,1.3885315315819444,0.020042683177038677
2,阿尔巴尼亚,阿尔巴尼亚,1,阿尔巴尼亚,197,11,9,1,7.973839727970497,2.9615437393915847
3,阿尔及利亚,阿尔及利亚,2,阿尔及利亚,367,62,25,4,68.11289203523224,213.6824817901263
4,阿富汗,阿富汗,3,阿富汗,106,26,2,0,46.10315447724969,61.25874997452199
5,阿根廷,阿根廷,4,阿根廷,589,87,12,4,124.43384391102639,278.07097318538524
6,阿联酋,阿联酋,5,阿联酋,405,72,2,0,15.781914584221616,7.623950770634311
7,阿曼,阿曼,7,阿曼,152,43,0,0,30.60536529088686,26.863630254245184
8,阿塞拜疆,阿塞拜疆,8,阿塞拜疆,147,25,3,0,20.694081153422545,8.877991750422158
9,埃及,埃及,9,埃及,536,41,30,6,46.51183683093997,88.79406872386022
10,埃塞俄比亚,埃塞俄比亚,10,埃塞俄比亚,16,4,0,0,43.97351072336223,93.69755942008183
11,爱尔兰,爱尔兰,11,爱尔兰,2121,302,22,3,25.60628985993701,9.67974515082728
12,爱沙尼亚,爱沙尼亚,12,爱沙尼亚,575,37,1,0,19.427155810421777,6.571056220254507
13,安道尔,安道尔,13,安道尔,289,58,3,0,1.148365581641772,0.048186015059485804
14,安哥拉,安哥拉,14,安哥拉,2,0,0,0,57.32636066901143,104.60375782398734
15,安圭拉,安圭拉,15,安圭拉,2,0,0,0,0.3092802450448308,0.004158549292073257
16,奥地利,奥地利,17,奥地利,7697,668,68,16,19.785455433542936,9.894883715319143
17,澳大利亚,澳大利亚,18,澳大利亚,3635,650,14,1,218.54706975542805,697.4668706949112
18,巴巴多斯,巴巴多斯,19,巴巴多斯,24,6,0,0,0.6844309242774945,0.019499622491432354
