OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20211124xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,224,中国,127602,30,5697,0,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,223,中非,11708,0,101,0,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,222,智利,1747065,1760,38161,12,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,221,直布罗陀,6996,52,98,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,220,乍得,5107,0,175,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,219,泽西岛,13223,189,80,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,218,赞比亚,210090,17,3667,0,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,217,越南,1143967,39132,24118,167,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,216,约旦,923722,4549,11403,26,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,215,英国,9932412,42482,144137,165,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,214,印度尼西亚,4254443,451,143766,13,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,213,印度,34535763,9283,466584,437,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,212,意大利,4942135,10044,133330,83,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,211,以色列,1340141,603,8178,0,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,210,伊朗,6088009,5144,129185,132,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,209,伊拉克,2076146,898,23712,26,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,208,也门,9967,6,1942,3,33.50044179970094,35.874965221221984
