OBJECTID,name_cn,globe_中文名,gb_yq_20200705xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
95,马来西亚,马来西亚,122,马来西亚,8658,10,121,0,49.83001741353516,26.72154423503361
96,马拉维,马拉维,121,马拉维,1613,115,17,1,22.71761665511548,7.855054864778357
97,马耳他,马耳他,120,马耳他,672,0,9,0,0.6356257713717046,0.022850810803181534
98,马尔维纳斯群岛（福克兰）,马尔维纳斯群岛（福克兰）,119,马尔维纳斯群岛（福克兰）,13,0,0,0,13.841898776692645,1.4132403670486962
99,马尔代夫,马尔代夫,118,马尔代夫,2435,25,10,2,4.263072774894659,0.9783650323967109
100,马恩岛,马恩岛,117,马恩岛,336,0,24,0,0.9719365971267176,0.04656292840224973
101,马达加斯加,马达加斯加,116,马达加斯加,2728,216,29,3,40.4199381047602,49.633709719626076
102,罗马尼亚,罗马尼亚,115,罗马尼亚,28582,416,1731,23,26.4547779549565,26.91752658473789
103,卢旺达,卢旺达,114,卢旺达,1092,11,3,0,6.096449092656217,2.102544825122178
104,卢森堡,卢森堡,113,卢森堡,4476,29,110,0,2.225166435247727,0.3319972299621789
105,留尼汪,留尼汪,112,留尼汪,536,3,2,0,1.7500307292354147,0.17390152491151134
106,列支敦士登,列支敦士登,111,列支敦士登,84,0,1,0,0.5537338509349256,0.014136864978593625
107,利比亚,利比亚,109,利比亚,918,0,27,0,56.750229560444666,148.12031283507056
108,利比里亚,利比里亚,108,利比里亚,833,0,37,0,13.951479545146029,7.857906360218172
109,立陶宛,立陶宛,110,立陶宛,1831,3,79,0,13.706736261736541,9.209607774088644
110,黎巴嫩,黎巴嫩,107,黎巴嫩,1855,25,35,0,4.396857736453323,0.9857291017588291
111,老挝,老挝,105,老挝,19,0,0,0,32.11879367718486,18.94525851603384
112,莱索托,莱索托,106,莱索托,79,16,0,0,6.67038493777629,2.8526298598582738
113,拉脱维亚,拉脱维亚,104,拉脱维亚,1123,1,30,0,17.67447514687702,8.498445404999536
114,库拉索,库拉索,103,库拉索,25,0,1,0,1.0267602865034027,0.018749631827510688
115,肯尼亚,肯尼亚,102,肯尼亚,7577,389,159,5,32.64453207718544,46.05800391098527
116,克罗地亚,克罗地亚,101,克罗地亚,3094,86,113,1,27.832937848644814,6.697720489730958
117,科威特,科威特,99,科威特,49303,631,365,5,7.773666661161188,1.8230353152445027
118,科特迪瓦,科特迪瓦,97,科特迪瓦,10244,252,70,2,27.20026967613636,26.516860934352863
119,科索沃,科索沃,100,科索沃,3313,178,54,9,3.370217012442882,0.47929182541302084
120,科摩罗,科摩罗,98,科摩罗,309,0,7,0,1.8299779646627727,0.09852835497401155
121,开曼群岛,开曼群岛,96,开曼群岛,201,0,1,0,0.7550701551740369,0.01847884226396678
122,卡塔尔,卡塔尔,94,卡塔尔,99183,530,123,2,4.7873525990947545,1.1415420848891062
123,喀麦隆,喀麦隆,95,喀麦隆,12592,0,313,0,38.623949252490895,38.73945937697293
124,津巴布韦,津巴布韦,93,津巴布韦,698,73,8,1,24.014565161190898,33.489217774594756
125,捷克,捷克,92,捷克,12440,121,351,-1,15.818643910981212,9.585600844794685
126,柬埔寨,柬埔寨,91,柬埔寨,141,0,0,0,18.634025283468926,15.451451733370181
127,加蓬,加蓬,88,加蓬,5620,107,44,2,27.040589254451948,20.54008092503478
128,加纳,加纳,87,加纳,19388,496,117,0,20.85129287889849,20.099997197909374
129,加拿大,加拿大,86,加拿大,105091,319,8663,21,1539.4681504668765,1671.6081244929155
130,几内亚比绍,几内亚比绍,90,几内亚比绍,1765,0,25,0,12.294015676967598,2.4913868196676736
131,几内亚,几内亚,89,几内亚,5570,49,34,1,26.23962135605947,21.418330695591425
132,吉尔吉斯斯坦,吉尔吉斯斯坦,85,吉尔吉斯斯坦,7094,0,78,0,30.688005248496754,19.77180808260928
133,吉布提,吉布提,84,吉布提,4736,0,55,0,7.321132164427829,1.9696939954664814
134,洪都拉斯,洪都拉斯,83,洪都拉斯,22116,996,605,14,15.959010772843447,9.467039963324622
135,黑山,黑山,82,黑山,720,57,13,0,5.520460186577659,1.36856711638278
136,荷兰加勒比区,荷兰加勒比区,81,荷兰加勒比区,7,0,0,0,0.8821020672411013,0.027140060892090413
137,荷兰,荷兰,80,荷兰,50493,61,6117,6,16.128406649810675,4.0342437462578475
138,韩国,韩国,79,韩国,13091,61,283,0,17.982893369831103,9.888493694113754
139,海地,海地,78,海地,6230,129,110,0,10.742145566003915,2.2668577654257502
140,哈萨克斯坦,哈萨克斯坦,77,哈萨克斯坦,47171,1452,240,26,134.03289397384617,323.8480050133398
