OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20210512xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,221,中国,103902,32,4858,0,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,220,中非,6866,192,95,2,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,219,智利,1256546,3738,27356,38,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,218,直布罗陀,4286,0,94,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,217,乍得,4888,6,172,1,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,216,泽西岛,3235,1,69,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,215,赞比亚,92152,40,1258,1,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,214,越南,3571,82,35,0,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,213,约旦,721853,855,9151,26,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,212,英国,4439695,2474,127629,20,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,211,印度尼西亚,1723596,5021,47465,247,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,210,印度,23340938,348421,254197,4205,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,209,意大利,4123230,6943,123282,251,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,208,以色列,839022,29,6378,0,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,207,伊朗,2691352,18133,75568,307,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,206,伊拉克,1122914,5287,15834,34,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,205,也门,6496,7,1277,1,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,204,亚美尼亚,219950,354,4272,16,9.904000073855808,3.665524679494105
19,19,牙买加,牙买加,4.82798122279,203,牙买加,46821,39,814,5,4.827981222792307,0.8247678758169106
20,20,叙利亚,叙利亚,20.6286198894,202,叙利亚,23490,51,1670,6,20.628619889358337,18.555305741023673
21,21,匈牙利,匈牙利,17.8172786283,201,匈牙利,793784,905,28888,96,17.81727862828512,10.96767898880457
22,22,新西兰,新西兰,58.3041653664,200,新西兰,2287,1,26,0,58.304165366366284,29.63120638720386
23,23,新喀里多尼亚,新喀里多尼亚,0.315384694174,199,新喀里多尼亚,124,0,0,0,0.3153846941739794,0.0043535203997104345
24,24,新加坡,新加坡,1.95533073363,198,新加坡,61403,25,31,0,1.9553307336349242,0.2523737098666097
25,25,希腊,希腊,58.4703424345,197,希腊,367076,3172,11141,52,58.47034243451138,12.923495647177484
26,27,西班牙,西班牙,55.1188411759,196,西班牙,3586333,2768,79100,7,55.118841175901764,54.280343511511816
27,28,乌兹别克斯坦,乌兹别克斯坦,60.5666233837,195,乌兹别克斯坦,95467,395,666,2,60.5666233837278,45.83407503762229
28,29,乌拉圭,乌拉圭,16.9417479676,194,乌拉圭,222870,2187,3171,49,16.941747967566673,17.708958502391088
