OBJECTID,NAME,CAPITAL,name_cn,地区国家,累计确诊,新增确诊,Shape_Length,Shape_Area
1,AUSTRALIA,CANBERRA,澳大利亚,澳大利亚,4,0,206.4865949311044,697.1114800574247
2,CANADA,OTTAWA,加拿大,加拿大,1,1,1555.8759270941462,1647.7500982682654
3,CHINA,BEIJING,中国,中国,4533,1769,248.8216693624411,958.1973887475898
4,FRANCE,PARIS,法国,法国,3,0,52.88291275416734,65.77613102716322
5,JAPAN,TOKYO,日本,日本,4,1,81.93419085400431,38.97019479375141
6,"KOREA, REPUBLIC OF",SEOUL,韩国,韩国,4,2,16.01194866250559,8.870230280248608
7,MALAYSIA,KUALA LUMPUR,马来西亚,马来西亚,4,1,49.79989904781451,27.106260339720556
8,NEPAL,KATHMANDU,尼泊尔,尼泊尔,1,0,20.02563636391712,13.656719692751231
9,THAILAND,BANGKOK,泰国,泰国,5,0,54.581789578607015,42.558096872050044
10,UNITED STATES,WASHINGTON,美国,美国,5,3,480.499004202442,1109.0039059704707
11,VIETNAM,HA NOI,越南,越南,2,0,49.97056195189593,27.025888705025615
12,Singapore,,新加坡,新加坡,4,0,1.2689056078172032,0.10466184494510426
