OBJECTID,globe_中文名,name_cn,gb_yq_20200318xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
147,圣巴托洛缪岛,圣巴托洛缪岛,118,圣巴托洛缪岛,3,0,0,0,0.026108061968111107,2.9894487100654525e-05
148,马提尼克,马提尼克,92,马提尼克,16,0,0,0,1.1220900627897885,0.06328798803366831
149,法罗群岛,法罗群岛,45,法罗群岛,47,36,0,0,0.6757866154412179,0.019108692039151057
150,马耳他,马耳他,90,马耳他,38,8,0,0,0.6356257724797016,0.02285081089681814
151,马尔代夫,马尔代夫,89,马尔代夫,13,0,0,0,4.263072774911731,0.9783650324045342
152,根西,根西,56,根西,1,0,0,0,0.40007693778177467,0.006160076129954475
153,法属波利尼西亚,法属波利尼西亚,46,法属波利尼西亚,3,0,0,0,1.2676477383094853,0.08405644534004428
154,泽西岛,泽西岛,157,泽西岛,5,3,0,0,0.46804568234372024,0.01029321544508937
155,圣文森特和格林纳丁斯,圣文森特和格林纳丁斯,122,圣文森特和格林纳丁斯,1,0,0,0,0.529268597618696,0.013676869394688674
156,安提瓜和巴布达,安提瓜和巴布达,14,安提瓜和巴布达,1,0,0,0,0.5246293974916661,0.016659382357320156
157,马约特岛,马约特岛,93,马约特岛,1,0,0,0,0.5941586590987837,0.013146780122935929
158,美属维尔京群岛,美属维尔京群岛,96,美属维尔京群岛,2,1,0,0,0.660072348421674,0.010213949759593633
159,圣卢西亚,圣卢西亚,119,圣卢西亚,2,0,0,0,0.7709442288375159,0.028303511556656634
160,塞舌尔,塞舌尔,116,塞舌尔,4,0,0,0,0.4740355432504909,0.008996655303766232
161,荷兰,荷兰,63,荷兰,1705,292,43,19,16.128406649809563,4.0342437462577285
