OBJECTID,NAME,CAPITAL,name_cn,地区国家,累计确诊,新增确诊,Shape_Length,Shape_Area
1,AUSTRALIA,CANBERRA,澳大利亚,澳大利亚,7,0,206.4865949311044,697.1114800574247
2,CAMBODIA,PHNOM PENH,柬埔寨,柬埔寨,1,0,17.283266000242786,15.09745870404986
3,CANADA,OTTAWA,加拿大,加拿大,3,0,1555.8759270941462,1647.7500982682654
4,CHINA,BEIJING,中国,中国,9720,1985,248.8216693624411,958.1973887475898
5,FINLAND,HELSINKI,芬兰,芬兰,1,1,49.60063770424547,62.02673094352433
6,FRANCE,PARIS,法国,法国,5,1,52.88291275416734,65.77613102716322
7,GERMANY,BERLIN,德国,德国,4,0,40.21621537581479,46.02332184825026
8,INDIA,NEW DELHI,印度,印度,1,1,139.9762158568565,279.551567762552
9,JAPAN,TOKYO,日本,日本,11,4,81.93419085400431,38.97019479375141
10,"KOREA, REPUBLIC OF",SEOUL,韩国,韩国,4,0,16.01194866250559,8.870230280248608
11,MALAYSIA,KUALA LUMPUR,马来西亚,马来西亚,7,3,49.79989904781451,27.106260339720556
12,NEPAL,KATHMANDU,尼泊尔,尼泊尔,1,0,20.02563636391712,13.656719692751231
13,PHILIPPINES,MANILA,菲律宾,菲律宾,1,1,78.00998268593636,22.26058326517528
14,SRI LANKA,COLOMBO,斯里兰卡,斯里兰卡,1,0,12.089329830229625,4.790627305949876
15,THAILAND,BANGKOK,泰国,泰国,14,0,54.581789578607015,42.558096872050044
16,UNITED ARAB EMIRATES,ABU DHABI,阿联酋,阿联酋,4,0,17.674853161960147,8.42085123990175
17,UNITED STATES,WASHINGTON,美国,美国,5,0,480.499004202442,1109.0039059704707
18,VIETNAM,HA NOI,越南,越南,2,0,49.97056195189593,27.025888705025615
19,Singapore,,新加坡,新加坡,10,3,1.2689056078172032,0.10466184494510426
