OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20211004xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,223,中国,124843,38,5693,1,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,222,中非,11385,0,100,0,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,221,智利,1656602,718,37494,10,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,220,直布罗陀,5573,18,97,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,219,乍得,5046,2,174,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,218,泽西岛,10054,0,78,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,217,赞比亚,209163,21,3649,0,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,216,越南,808578,5376,19715,114,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,215,约旦,826282,1037,10742,6,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,214,英国,7900684,29666,136953,43,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,213,印度尼西亚,4220206,922,142261,88,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,212,印度,33834702,20799,448997,180,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,211,意大利,4682034,2967,131031,33,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,210,以色列,1291110,2653,7825,13,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,209,伊朗,5624128,12428,121109,229,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,208,伊拉克,2009678,2451,22365,21,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,207,也门,9139,0,1734,0,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,206,亚美尼亚,265317,627,5397,25,9.904000073855808,3.665524679494105
19,19,牙买加,牙买加,4.82798122279,205,牙买加,84701,284,1909,25,4.827981222792307,0.8247678758169106
20,20,叙利亚,叙利亚,20.6286198894,204,叙利亚,34920,224,2276,11,20.628619889358337,18.555305741023673
21,21,匈牙利,匈牙利,17.8172786283,203,匈牙利,824876,1492,30230,31,17.81727862828512,10.96767898880457
22,22,新西兰,新西兰,58.3041653664,202,新西兰,4025,31,27,0,58.304165366366284,29.63120638720386
23,23,新喀里多尼亚,新喀里多尼亚,0.315384694174,201,新喀里多尼亚,7987,57,150,8,0.3153846941739794,0.0043535203997104345
24,24,新加坡,新加坡,1.95533073363,200,新加坡,103843,2057,113,6,1.9553307336349242,0.2523737098666097
