OBJECTID,globe_中文名,name_cn,gb_yq_20200321xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,阿尔巴尼亚,阿尔巴尼亚,1,阿尔巴尼亚,70,0,2,0,7.973839727970497,2.9615437393915847
2,阿尔及利亚,阿尔及利亚,2,阿尔及利亚,94,12,10,3,68.11289203523224,213.6824817901263
3,阿富汗,阿富汗,3,阿富汗,24,2,0,0,46.10315447724969,61.25874997452199
4,阿根廷,阿根廷,4,阿根廷,128,31,3,1,124.43384391102639,278.07097318538524
5,阿联酋,阿联酋,5,阿联酋,140,0,0,0,15.781914584221616,7.623950770634311
6,阿曼,阿曼,7,阿曼,48,9,0,0,30.60536529088686,26.863630254245184
7,阿塞拜疆,阿塞拜疆,8,阿塞拜疆,44,10,1,0,20.694081153422545,8.877991750422158
8,埃及,埃及,9,埃及,256,46,7,1,46.51183683093997,88.79406872386022
9,埃塞俄比亚,埃塞俄比亚,10,埃塞俄比亚,9,0,0,0,43.97351072336223,93.69755942008183
10,爱尔兰,爱尔兰,11,爱尔兰,683,126,3,0,25.60628985993701,9.67974515082728
11,爱沙尼亚,爱沙尼亚,12,爱沙尼亚,283,16,0,0,19.427155810421777,6.571056220254507
12,安道尔,安道尔,13,安道尔,75,0,0,0,1.148365581641772,0.048186015059485804
13,奥地利,奥地利,15,奥地利,2649,806,6,1,19.785455433542936,9.894883715319143
14,澳大利亚,澳大利亚,16,澳大利亚,873,164,7,1,218.54706975542805,697.4668706949112
15,巴巴多斯,巴巴多斯,17,巴巴多斯,5,3,0,0,0.6844309242774945,0.019499622491432354
16,巴布亚新几内亚,巴布亚新几内亚,18,巴布亚新几内亚,1,1,0,0,77.82782546054348,37.67034661422462
17,巴哈马,巴哈马,19,巴哈马,4,1,0,0,23.878201820394388,1.1782859882294523
18,巴基斯坦,巴基斯坦,20,巴基斯坦,461,159,2,0,71.22729220349414,74.32325893852614
19,巴拉圭,巴拉圭,21,巴拉圭,13,2,0,0,29.507348534862906,35.36356063685132
20,巴林,巴林,22,巴林,285,16,1,0,0.7772869774829815,0.017878320008286028
21,巴拿马,巴拿马,23,巴拿马,137,28,1,0,21.354909305120373,6.231212989740699
22,巴西,巴西,24,巴西,621,193,4,0,203.68408592836326,713.6777002155402
23,白俄罗斯,白俄罗斯,25,白俄罗斯,57,11,0,0,26.620256515886354,29.22619005212672
24,保加利亚,保加利亚,30,保加利亚,127,33,3,0,18.486250579841048,12.036351750300607
25,贝宁,贝宁,29,贝宁,2,0,0,0,17.007586183265026,10.201565074342176
26,比利时,比利时,31,比利时,2257,462,37,23,9.590603160642818,3.8561271050731585
27,冰岛,冰岛,33,冰岛,409,79,1,1,44.847522370830106,19.530864421033492
28,波多黎各,波多黎各,34,波多黎各,14,8,0,0,4.370298525952583,0.7359221104986653
29,波兰,波兰,36,波兰,425,100,5,0,29.423172375593367,41.04475511016577
30,玻利维亚,玻利维亚,37,玻利维亚,16,1,0,0,49.648701517101635,90.23410133435924
31,不丹,不丹,38,不丹,2,0,0,0,8.209429426612896,3.265604484775075
32,布基纳法索,布基纳法索,39,布基纳法索,40,0,1,0,24.998218258751336,22.92749673022636
