OBJECTID,NAME,CAPITAL,name_cn,地区国家,累计确诊,新增确诊,Shape_Length,Shape_Area
1,AUSTRALIA,CANBERRA,澳大利亚,澳大利亚,15,0,206.4865949311044,697.1114800574247
2,BELGIUM,BRUSSELS,比利时,比利时,1,0,9.726358516656175,3.4906112792500434
3,CAMBODIA,PHNOM PENH,柬埔寨,柬埔寨,1,0,17.283266000242786,15.09745870404986
4,CANADA,OTTAWA,加拿大,加拿大,7,0,1555.8759270941462,1647.7500982682654
5,CHINA,BEIJING,中国,中国,59882,15153,248.8216693624411,958.1973887475898
6,FINLAND,HELSINKI,芬兰,芬兰,1,0,49.60063770424547,62.02673094352433
7,FRANCE,PARIS,法国,法国,11,0,52.88291275416734,65.77613102716322
8,GERMANY,BERLIN,德国,德国,16,2,40.21621537581479,46.02332184825026
9,INDIA,NEW DELHI,印度,印度,3,0,139.9762158568565,279.551567762552
10,ITALY,ROME,意大利,意大利,3,0,58.821775343843065,33.8576392138523
11,JAPAN,TOKYO,日本,日本,28,2,81.93419085400431,38.97019479375141
12,"KOREA, REPUBLIC OF",SEOUL,韩国,韩国,28,0,16.01194866250559,8.870230280248608
13,MALAYSIA,KUALA LUMPUR,马来西亚,马来西亚,18,0,49.79989904781451,27.106260339720556
14,NEPAL,KATHMANDU,尼泊尔,尼泊尔,1,0,20.02563636391712,13.656719692751231
15,PHILIPPINES,MANILA,菲律宾,菲律宾,3,0,78.00998268593636,22.26058326517528
16,RUSSIAN FEDERATION,MOSCOW,俄罗斯,俄罗斯,2,0,1018.4494722665427,2909.6137863925564
17,SPAIN,MADRID,西班牙,西班牙,2,0,39.510725651688084,52.655416386525594
18,SRI LANKA,COLOMBO,斯里兰卡,斯里兰卡,1,0,12.089329830229625,4.790627305949876
19,SWEDEN,STOCKHOLM,瑞典,瑞典,1,0,60.65674147183005,77.7613184096759
20,THAILAND,BANGKOK,泰国,泰国,33,0,54.581789578607015,42.558096872050044
21,UNITED ARAB EMIRATES,ABU DHABI,阿联酋,阿联酋,8,0,17.674853161960147,8.42085123990175
22,UNITED KINGDOM,LONDON,英国,英国,8,0,66.53107646064396,30.733379083350727
23,UNITED STATES,WASHINGTON,美国,美国,13,0,480.499004202442,1109.0039059704707
24,VIETNAM,HA NOI,越南,越南,15,0,49.97056195189593,27.025888705025615
25,Singapore,,新加坡,新加坡,47,2,1.2689056078172032,0.10466184494510426
26,,,其他,其他,175,40,0.47041055884463034,0.013365553414913307
