OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20220127xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,226,中国,137970,315,5700,0,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,225,中非,13840,0,109,0,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,224,智利,2020082,18736,39547,4,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,223,直布罗陀,12277,174,100,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,222,乍得,7075,0,190,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,221,泽西岛,29176,390,99,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,220,赞比亚,303266,697,3906,1,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,219,越南,2187481,15954,37165,155,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,218,约旦,1177165,12826,13124,22,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,217,英国,16149323,101603,154702,346,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,216,印度尼西亚,4309270,8077,144261,7,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,215,印度,40371500,286384,491700,573,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,214,意大利,10383561,170940,144770,427,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,213,以色列,2599456,50305,8513,7,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,212,伊朗,6279410,11851,132303,29,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,211,伊拉克,2175793,8107,24319,10,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,210,也门,10888,67,2003,3,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,209,亚美尼亚,358218,2556,8035,2,9.904000073855808,3.665524679494105
19,19,牙买加,牙买加,4.82798122279,208,牙买加,121936,500,2615,6,4.827981222792307,0.8247678758169106
20,20,叙利亚,叙利亚,20.6286198894,207,叙利亚,51124,49,2977,3,20.628619889358337,18.555305741023673
21,21,匈牙利,匈牙利,17.8172786283,206,匈牙利,1490489,19213,41151,64,17.81727862828512,10.96767898880457
22,22,新西兰,新西兰,58.3041653664,205,新西兰,15466,96,52,0,58.304165366366284,29.63120638720386
23,23,新喀里多尼亚,新喀里多尼亚,0.315384694174,204,新喀里多尼亚,17348,586,283,0,0.3153846941739794,0.0043535203997104345
24,24,新加坡,新加坡,1.95533073363,203,新加坡,327602,4832,850,0,1.9553307336349242,0.2523737098666097
25,25,希腊,希腊,58.4703424345,202,希腊,1848223,17960,22970,118,58.47034243451138,12.923495647177484
26,27,西班牙,西班牙,55.1188411759,201,西班牙,9529320,51984,92591,42,55.118841175901764,54.280343511511816
27,28,乌兹别克斯坦,乌兹别克斯坦,60.5666233837,200,乌兹别克斯坦,218477,1117,1551,2,60.5666233837278,45.83407503762229
28,29,乌拉圭,乌拉圭,16.9417479676,199,乌拉圭,609785,10745,6339,14,16.941747967566673,17.708958502391088
29,30,乌克兰,乌克兰,63.0581799997,198,乌克兰,3946202,32393,99738,154,63.05817999968692,73.69212728191064
30,31,乌干达,乌干达,19.6610128947,197,乌干达,161259,285,3515,8,19.661012894744616,18.979199764248577
31,32,文莱,文莱,4.61752042414,196,文莱,16206,27,59,0,4.61752042414165,0.4896262132202988
32,33,委内瑞拉,委内瑞拉,58.5555637342,195,委内瑞拉,473125,1736,5414,4,58.55556373422501,75.57584372702944
33,34,维尔京群岛,维尔京群岛,1.38853153158,194,维尔京群岛,5809,0,49,0,1.3885315315819444,0.020042683177038677
34,35,危地马拉,危地马拉,15.3555100892,193,危地马拉,673559,3070,16285,13,15.355510089228543,9.31605558714351
35,36,瓦努阿图,瓦努阿图,11.851157107,192,瓦努阿图,7,0,0,0,11.851157106954787,0.5959110387382458
36,230,瓦利斯群岛和富图纳群岛,瓦利斯群岛和富图纳群岛,0.545708928193,191,瓦利斯群岛和富图纳群岛,453,0,7,0,0.5457089281929385,0.008047407074154939
37,38,土耳其,土耳其,67.6334797887,190,土耳其,11167036,77434,86487,188,67.63347978872251,82.29688605646851
38,40,突尼斯,突尼斯,22.4586960373,189,突尼斯,876245,9800,26096,45,22.458696037337344,15.988278012532524
39,41,特立尼达和多巴哥,特立尼达和多巴哥,3.68062958695,188,特立尼达和多巴哥,107408,602,3335,15,3.680629586951003,0.4137188520633441
40,42,特克斯和凯科斯群岛,特克斯和凯科斯群岛,0.169079412401,187,特克斯和凯科斯群岛,5633,63,34,0,0.16907941240058638,0.0007785022642414073
41,43,汤加,汤加,0.104607117127,186,汤加,1,0,0,0,0.10460711712712757,0.0005001888838667302
42,44,坦桑尼亚,坦桑尼亚,42.0778900303,185,坦桑尼亚,32920,0,778,0,42.077890030347234,78.86090528003723
43,45,泰国,泰国,57.3460162138,184,泰国,2407022,8078,22098,22,57.346016213812554,43.62243168362355
