OBJECTID,globe_中文名,name_cn,gb_yq_20200308xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,gb_yq_20200308xls_新增死亡,Shape_Length,Shape_Area
93,中国,中国,103,中国,80904,45,3123,23,260.04206422474147,965.6285542020123
94,其他,其他,70,其他,696,0,7,1,0.47041055884463034,0.013365553414913307
95,被占巴勒斯坦领土,被占巴勒斯坦领土,18,被占巴勒斯坦领土,16,0,0,0,3.0997752598773176,0.26056252278409275
96,波黑,波黑,23,波黑,2,0,0,0,8.895300903470677,3.9014952814945154
97,圣马丁,圣马丁,78,圣马丁,2,0,0,0,0.15159164717977763,0.0008890849768216117
98,直布罗陀,直布罗陀,101,直布罗陀,1,0,0,0,0.013883779104465492,6.97538032364115e-06
99,圣巴托洛缪岛,圣巴托洛缪岛,77,圣巴托洛缪岛,1,0,0,0,0.026108061968111107,2.9894487100654525e-05
100,马提尼克,马提尼克,59,马提尼克,2,2,0,0,1.1220900627897885,0.06328798803366831
101,法罗群岛,法罗群岛,33,法罗群岛,1,0,0,0,0.6757866154412179,0.019108692039151057
102,马耳他,马耳他,57,马耳他,3,3,0,0,0.6356257724797016,0.02285081089681814
103,马尔代夫,马尔代夫,56,马尔代夫,2,2,0,0,4.263072774911731,0.9783650324045342
