OBJECTID,name_cn,globe_中文名,gb_yq_20200329xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,马里亚纳群岛,马里亚纳群岛,117,马里亚纳群岛,2,2,0,0,5.052993281206864,0.09621417961534802
2,维尔京群岛,维尔京群岛,171,维尔京群岛,2,0,0,0,1.388531531582004,0.020042683177033064
3,阿尔巴尼亚,阿尔巴尼亚,1,阿尔巴尼亚,212,15,10,1,7.9738397279708435,2.9615437393915207
4,阿尔及利亚,阿尔及利亚,2,阿尔及利亚,409,42,26,1,68.11289203523242,213.68248179012664
5,阿富汗,阿富汗,3,阿富汗,114,8,4,2,46.10315447724982,61.25874997452178
6,阿根廷,阿根廷,4,阿根廷,690,101,17,5,124.43384391102607,278.07097318538507
7,阿联酋,阿联酋,5,阿联酋,468,63,2,0,15.781914584221777,7.6239507706347815
8,阿曼,阿曼,7,阿曼,167,15,0,0,30.605365290886958,26.863630254244924
9,阿塞拜疆,阿塞拜疆,8,阿塞拜疆,164,17,4,1,20.694081153422847,8.87799175042217
10,埃及,埃及,9,埃及,576,40,36,6,46.51183683093945,88.79406872385928
11,埃塞俄比亚,埃塞俄比亚,10,埃塞俄比亚,16,0,0,0,43.97351072336226,93.69755942008163
12,爱尔兰,爱尔兰,11,爱尔兰,2415,294,36,14,25.606289859936528,9.679745150827545
13,爱沙尼亚,爱沙尼亚,12,爱沙尼亚,640,65,1,0,19.427155810421876,6.5710562202544525
14,安道尔,安道尔,13,安道尔,321,32,4,1,1.1483655816419986,0.04818601505948762
15,安哥拉,安哥拉,14,安哥拉,2,0,0,0,57.32636066901132,104.60375782398704
16,安圭拉,安圭拉,15,安圭拉,2,0,0,0,0.3092802450450131,0.004158549292078383
17,奥地利,奥地利,17,奥地利,8291,594,68,0,19.78545543354242,9.894883715319137
18,澳大利亚,澳大利亚,18,澳大利亚,3966,331,16,2,218.54706975542643,697.4668706949104
19,巴巴多斯,巴巴多斯,19,巴巴多斯,24,0,0,0,0.6844309242776034,0.0194996224914391
20,巴布亚新几内亚,巴布亚新几内亚,20,巴布亚新几内亚,1,0,0,0,77.82782546054341,37.670346614224755
21,巴哈马,巴哈马,21,巴哈马,10,1,0,0,23.878201820393326,1.1782859882294254
22,巴基斯坦,巴基斯坦,22,巴基斯坦,1526,291,13,4,71.22729220349365,74.32325893852594
23,巴拉圭,巴拉圭,23,巴拉圭,56,4,3,0,29.50734853486281,35.3635606368516
24,巴林,巴林,24,巴林,476,3,4,0,0.7772869774828717,0.01787832000827334
25,巴拿马,巴拿马,25,巴拿马,786,112,14,5,21.354909305120195,6.231212989740694
26,巴西,巴西,26,巴西,3417,502,92,15,203.68408592836423,713.67770021554
27,白俄罗斯,白俄罗斯,27,白俄罗斯,94,0,0,0,26.620256515886478,29.226190052126366
28,保加利亚,保加利亚,32,保加利亚,331,38,7,4,18.486250579840956,12.036351750300494
29,贝宁,贝宁,31,贝宁,6,0,0,0,17.00758618326484,10.20156507434241
30,比利时,比利时,33,比利时,9134,1850,353,64,9.590603160642507,3.8561271050730115
31,冰岛,冰岛,35,冰岛,963,73,2,0,44.847522370830426,19.53086442103322
32,波多黎各,波多黎各,36,波多黎各,64,0,2,0,4.370298525952428,0.7359221104986404
33,波兰,波兰,38,波兰,1638,249,18,2,29.423172375593182,41.04475511016553
34,玻利维亚,玻利维亚,39,玻利维亚,74,13,0,0,49.64870151710163,90.2341013343591
35,伯利兹,伯利兹,40,伯利兹,2,0,0,0,7.306004157341348,2.064137182040487
36,不丹,不丹,41,不丹,3,0,0,0,8.209429426613127,3.2656044847750634
37,布基纳法索,布基纳法索,42,布基纳法索,146,0,3,0,24.998218258751542,22.927496730226487
38,赤道几内亚,赤道几内亚,43,赤道几内亚,6,0,0,0,8.11719784960081,2.4481406002445394
39,丹麦,丹麦,44,丹麦,2201,155,65,13,26.661887386371106,6.245518762663035
40,德国,德国,45,德国,52547,3965,389,64,43.89945938952396,46.49600069178088
