OBJECTID,NAME,CAPITAL,name_cn,OBJECTID1,地区国家,累计确诊,新增确诊,Shape_Length,Shape_Area
1,AFGHANISTAN,KABUL,阿富汗,2,阿富汗,1,0,44.39791672042403,61.77838504385045
2,ALGERIA,ALGIERS,阿尔及利亚,1,阿尔及利亚,1,1,64.78983603064924,211.07810982477505
3,AUSTRALIA,CANBERRA,澳大利亚,6,澳大利亚,23,1,206.4865949311044,697.1114800574247
4,AUSTRIA,VIENNA,奥地利,7,奥地利,2,2,18.905693502473344,9.735114934724765
5,BELGIUM,BRUSSELS,比利时,9,比利时,1,0,9.726358516656175,3.4906112792500434
6,CAMBODIA,PHNOM PENH,柬埔寨,17,柬埔寨,1,0,17.283266000242786,15.09745870404986
7,CANADA,OTTAWA,加拿大,16,加拿大,10,0,1555.8759270941462,1647.7500982682654
8,CHINA,BEIJING,中国,39,中国,78630,440,248.8216693624411,958.1973887475898
9,CROATIA,ZAGREB,克罗地亚,19,克罗地亚,2,2,22.812406876081635,6.473345062440212
10,EGYPT,CAIRO,埃及,5,埃及,1,0,49.65185598660022,91.19834555634189
11,FINLAND,HELSINKI,芬兰,14,芬兰,1,0,49.60063770424547,62.02673094352433
12,FRANCE,PARIS,法国,12,法国,12,0,52.88291275416734,65.77613102716322
13,GERMANY,BERLIN,德国,10,德国,18,2,40.21621537581479,46.02332184825026
14,INDIA,NEW DELHI,印度,36,印度,3,0,139.9762158568565,279.551567762552
15,IRAN,TEHRAN,伊朗,33,伊朗,95,34,64.97647898598436,156.9243202616742
16,IRAQ,BAGHDAD,伊拉克,32,伊拉克,5,4,30.75412137504154,43.00595817705017
17,ISRAEL,JERUSALEM,以色列,34,以色列,2,0,9.788229380472943,2.315831294035185
18,ITALY,ROME,意大利,35,意大利,322,93,58.821775343843065,33.8576392138523
19,JAPAN,TOKYO,日本,25,日本,164,7,81.93419085400431,38.97019479375141
20,"KOREA, REPUBLIC OF",SEOUL,韩国,15,韩国,1261,284,16.01194866250559,8.870230280248608
21,KUWAIT,KUWAIT,科威特,18,科威特,12,4,6.643082132156529,1.5868963288747104
22,LEBANON,BEYROUTH,黎巴嫩,20,黎巴嫩,1,0,4.281005656459998,0.757334093875028
23,MALAYSIA,KUALA LUMPUR,马来西亚,21,马来西亚,22,0,49.79989904781451,27.106260339720556
24,NEPAL,KATHMANDU,尼泊尔,23,尼泊尔,1,0,20.02563636391712,13.656719692751231
25,OMAN,MUSCAT,阿曼,4,阿曼,4,2,26.02143315594352,28.39426364676298
26,PHILIPPINES,MANILA,菲律宾,13,菲律宾,3,0,78.00998268593636,22.26058326517528
27,RUSSIAN FEDERATION,MOSCOW,俄罗斯,11,俄罗斯,2,0,1018.4494722665427,2909.6137863925564
28,SPAIN,MADRID,西班牙,30,西班牙,2,0,39.510725651688084,52.655416386525594
29,SRI LANKA,COLOMBO,斯里兰卡,28,斯里兰卡,1,0,12.089329830229625,4.790627305949876
30,SWEDEN,STOCKHOLM,瑞典,26,瑞典,1,0,60.65674147183005,77.7613184096759
31,SWITZERLAND,BERN,瑞士,27,瑞士,1,1,12.401538231238309,4.980928708144593
32,THAILAND,BANGKOK,泰国,29,泰国,40,3,54.581789578607015,42.558096872050044
33,UNITED ARAB EMIRATES,ABU DHABI,阿联酋,3,阿联酋,13,0,17.674853161960147,8.42085123990175
34,UNITED KINGDOM,LONDON,英国,37,英国,13,0,66.53107646064396,30.733379083350727
35,UNITED STATES,WASHINGTON,美国,22,美国,53,0,480.499004202442,1109.0039059704707
36,VIETNAM,HA NOI,越南,38,越南,16,0,49.97056195189593,27.025888705025615
37,Singapore,,新加坡,31,新加坡,91,1,1.2689056078172032,0.10466184494510426
38,,,其他,24,其他,691,0,0.47041055884463034,0.013365553414913307
