OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20220806xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,230,中国,5308583,20957,23954,55,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,229,中非,14781,0,113,0,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,228,智利,4274613,0,59698,0,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,227,直布罗陀,19938,0,105,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,226,乍得,7437,0,193,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,225,泽西岛,58331,0,135,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,224,赞比亚,329483,0,4015,0,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,223,越南,11189968,0,43094,0,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,222,约旦,1715296,0,14083,0,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,221,英国,23369355,0,185052,0,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,220,印度尼西亚,6240699,5455,157082,10,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,219,印度,44126994,19406,526649,49,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,218,意大利,21251774,38215,172904,175,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,217,以色列,4599318,2439,11448,3,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,216,伊朗,7431485,5455,142337,47,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,215,伊拉克,2450257,817,25323,1,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,214,也门,11895,0,2152,0,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,213,亚美尼亚,426799,0,8635,0,9.904000073855808,3.665524679494105
19,19,牙买加,牙买加,4.82798122279,212,牙买加,146695,0,3199,0,4.827981222792307,0.8247678758169106
20,20,叙利亚,叙利亚,20.6286198894,211,叙利亚,56464,11,3150,0,20.628619889358337,18.555305741023673
21,21,匈牙利,匈牙利,17.8172786283,210,匈牙利,1987321,0,46886,0,17.81727862828512,10.96767898880457
