OBJECTID,globe_中文名,name_cn,gb_yq_20200315xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,阿尔巴尼亚,阿尔巴尼亚,1,阿尔巴尼亚,38,5,1,0,7.973839727970497,2.9615437393915847
2,阿尔及利亚,阿尔及利亚,2,阿尔及利亚,37,11,3,1,68.11289203523224,213.6824817901263
3,阿富汗,阿富汗,3,阿富汗,10,3,0,0,46.10315447724969,61.25874997452199
4,阿根廷,阿根廷,4,阿根廷,45,11,2,0,124.43384391102639,278.07097318538524
5,阿联酋,阿联酋,5,阿联酋,85,0,0,0,15.781914584221616,7.623950770634311
6,阿曼,阿曼,6,阿曼,20,1,0,0,30.60536529088686,26.863630254245184
7,阿塞拜疆,阿塞拜疆,7,阿塞拜疆,19,8,0,0,20.694081153422545,8.877991750422158
8,埃及,埃及,8,埃及,93,0,2,0,46.51183683093997,88.79406872386022
9,埃塞俄比亚,埃塞俄比亚,9,埃塞俄比亚,1,0,0,0,43.97351072336223,93.69755942008183
10,爱尔兰,爱尔兰,10,爱尔兰,129,39,2,1,25.60628985993701,9.67974515082728
11,爱沙尼亚,爱沙尼亚,11,爱沙尼亚,79,0,0,0,19.427155810421777,6.571056220254507
12,安道尔,安道尔,12,安道尔,2,0,0,0,1.148365581641772,0.048186015059485804
13,奥地利,奥地利,14,奥地利,800,296,1,0,19.785455433542936,9.894883715319143
14,澳大利亚,澳大利亚,15,澳大利亚,249,52,3,0,218.54706975542805,697.4668706949112
15,巴基斯坦,巴基斯坦,16,巴基斯坦,28,7,0,0,71.22729220349414,74.32325893852614
16,巴拉圭,巴拉圭,17,巴拉圭,6,0,0,0,29.507348534862906,35.36356063685132
17,巴林,巴林,18,巴林,211,1,0,0,0.7772869774829815,0.017878320008286028
18,巴拿马,巴拿马,19,巴拿马,27,0,1,0,21.354909305120373,6.231212989740699
19,巴西,巴西,20,巴西,121,23,0,0,203.68408592836326,713.6777002155402
20,白俄罗斯,白俄罗斯,21,白俄罗斯,21,0,0,0,26.620256515886354,29.22619005212672
21,保加利亚,保加利亚,24,保加利亚,43,36,2,1,18.486250579841048,12.036351750300607
22,比利时,比利时,25,比利时,689,90,0,0,9.590603160642818,3.8561271050731585
23,冰岛,冰岛,27,冰岛,138,77,0,0,44.847522370830106,19.530864421033492
24,波多黎各,波多黎各,28,波多黎各,3,0,0,0,4.370298525952583,0.7359221104986653
25,波兰,波兰,30,波兰,111,47,3,2,29.423172375593367,41.04475511016577
26,玻利维亚,玻利维亚,31,玻利维亚,3,0,0,0,49.648701517101635,90.23410133435924
27,不丹,不丹,32,不丹,1,0,0,0,8.209429426612896,3.265604484775075
28,布基纳法索,布基纳法索,33,布基纳法索,3,1,0,0,24.998218258751336,22.92749673022636
29,赤道几内亚,赤道几内亚,34,赤道几内亚,1,1,0,0,8.117197849601027,2.4481406002445376
30,丹麦,丹麦,35,丹麦,827,26,0,0,26.661887386371166,6.24551876266293
31,德国,德国,36,德国,3795,733,8,2,43.899459389523734,46.496000691781006
32,多哥,多哥,37,多哥,1,0,0,0,12.905585097384508,4.596587935937527
33,多米尼加,多米尼加,38,多米尼加,5,0,0,0,11.055731619200202,4.114215997556154
34,俄罗斯,俄罗斯,39,俄罗斯,34,0,0,0,1086.6226050090904,2913.4201356909866
35,厄瓜多尔,厄瓜多尔,40,厄瓜多尔,23,0,0,0,31.184868452122494,20.283979588690894
36,法国,法国,41,法国,4469,829,91,12,65.84948177344266,66.25266750373707
37,法属圭亚那,法属圭亚那,44,法属圭亚那,7,1,0,0,12.489485824908574,7.400661348997434
38,梵蒂冈,梵蒂冈,45,梵蒂冈,1,0,0,0,0.7842750336300661,0.014991910040506387
39,菲律宾,菲律宾,46,菲律宾,111,47,6,4,104.06761462124311,23.03913329305567
40,芬兰,芬兰,47,芬兰,210,101,0,0,54.27434433195834,62.15277280808904
41,刚果（布）,刚果（布）,48,刚果（布）,1,1,0,0,33.95356808269201,26.898727715137518
42,刚果（金）,刚果（金）,49,刚果（金）,2,0,0,0,76.61868841342908,190.0706197243542
43,哥伦比亚,哥伦比亚,50,哥伦比亚,24,8,0,0,61.59567021749172,92.59563807972012
44,哥斯达黎加,哥斯达黎加,51,哥斯达黎加,23,0,0,0,12.5587484329418,4.506711944937891
45,格鲁吉亚,格鲁吉亚,52,格鲁吉亚,30,5,0,0,15.20674687353579,7.632983375562627
46,古巴,古巴,54,古巴,4,0,0,0,31.39364180663001,9.419455764334339
47,瓜德罗普,瓜德罗普,55,瓜德罗普,3,2,0,0,0.8915983816403168,0.04435794730802925
48,圭亚那,圭亚那,56,圭亚那,1,0,1,0,23.471985101083078,16.922442814384237
49,哈萨克斯坦,哈萨克斯坦,57,哈萨克斯坦,6,6,0,0,134.03289397384557,323.84800501333945
50,韩国,韩国,58,韩国,8162,76,75,3,17.98289336983087,9.888493694113702
51,荷兰,荷兰,59,荷兰,959,155,12,2,18.333355500570594,4.0540087645325915
52,库拉索,库拉索,74,库拉索,2,2,0,0,1.0267602865036105,0.018749631827507413
53,洪都拉斯,洪都拉斯,60,洪都拉斯,2,0,0,0,15.959010772843044,9.467039963324687
54,几内亚,几内亚,64,几内亚,1,0,0,0,26.23962135605981,21.418330695591816
55,加拿大,加拿大,61,加拿大,244,68,1,0,1539.468150466872,1671.6081244929162
56,加纳,加纳,62,加纳,2,1,0,0,20.85129287889863,20.099997197909595
57,加蓬,加蓬,63,加蓬,1,0,0,0,27.0405892544518,20.540080925034847
58,柬埔寨,柬埔寨,65,柬埔寨,7,0,0,0,18.63402528346828,15.451451733370222
59,捷克,捷克,66,捷克,214,64,0,0,15.818643910981182,9.585600844794435
60,喀麦隆,喀麦隆,68,喀麦隆,3,1,0,0,38.62394925249105,38.73945937697286
61,卡塔尔,卡塔尔,67,卡塔尔,337,75,0,0,4.7873525990949535,1.1415420848891193
62,开曼群岛,开曼群岛,69,开曼群岛,1,0,0,0,0.7550701551738679,0.018478842263955558
63,科特迪瓦,科特迪瓦,70,科特迪瓦,3,2,0,0,27.200269676136642,26.51686093435276
64,科威特,科威特,71,科威特,112,12,0,0,7.773666661161529,1.8230353152445502
65,克罗地亚,克罗地亚,72,克罗地亚,37,10,0,0,27.832937848644814,6.697720489730894
66,肯尼亚,肯尼亚,73,肯尼亚,1,0,0,0,32.64453207718531,46.05800391098552
67,拉脱维亚,拉脱维亚,75,拉脱维亚,30,14,0,0,17.674475146876787,8.498445404999151
68,黎巴嫩,黎巴嫩,76,黎巴嫩,93,16,3,0,4.3968577364534935,0.9857291017588082
69,立陶宛,立陶宛,77,立陶宛,9,3,0,0,13.70673626173672,9.209607774088758
70,列支敦士登,列支敦士登,78,列支敦士登,4,0,0,0,0.5537338509349466,0.014136864978603553
71,留尼汪,留尼汪,79,留尼汪,6,1,0,0,1.7500307292354234,0.173901524911532
72,卢森堡,卢森堡,80,卢森堡,38,0,1,0,2.225166435247802,0.33199722996221875
73,罗马尼亚,罗马尼亚,81,罗马尼亚,123,59,0,0,26.454777954956725,26.917526584737633
74,马来西亚,马来西亚,84,马来西亚,238,41,0,0,49.83001741353569,26.721544235033527
75,北马其顿,北马其顿,22,北马其顿,13,4,0,0,7.2354519205800685,3.017952795752632
76,毛里塔尼亚,毛里塔尼亚,87,毛里塔尼亚,1,1,0,0,51.12697975701829,92.62167488315926
77,美国,美国,88,美国,1678,0,41,0,527.3581157276379,1112.9050036308156
78,蒙古,蒙古,89,蒙古,1,0,0,0,79.92807842067936,185.73206105499986
79,孟加拉国,孟加拉国,90,孟加拉国,3,0,0,0,28.416094170389727,11.668103308515434
80,秘鲁,秘鲁,26,秘鲁,43,15,0,0,63.8239657232155,107.39829219089364
81,摩尔多瓦,摩尔多瓦,91,摩尔多瓦,12,4,0,0,9.976920803980223,3.8970990094261504
82,摩洛哥,摩洛哥,92,摩洛哥,18,11,1,0,35.673396061731864,39.0925831357494
83,摩纳哥,摩纳哥,93,摩纳哥,2,0,0,0,0.8523161152170328,0.027462250009287616
84,墨西哥,墨西哥,94,墨西哥,41,15,0,0,131.3586095527125,173.73554611987979
85,纳米比亚,纳米比亚,95,纳米比亚,2,2,0,0,48.78547843601829,73.37887132917369
86,南非,南非,96,南非,38,21,0,0,67.18513901699947,116.54854257558914
87,尼泊尔,尼泊尔,97,尼泊尔,1,0,0,0,20.23630907856112,13.060309627616824
88,尼日利亚,尼日利亚,98,尼日利亚,2,0,0,0,41.78217691309874,76.66049680286469
89,挪威,挪威,99,挪威,907,157,1,0,267.8994298156042,81.57468541459626
90,葡萄牙,葡萄牙,100,葡萄牙,112,0,0,0,22.388757655282383,9.403946300113345
91,日本,日本,102,日本,780,64,22,1,104.78979920248702,38.62456043847649
92,瑞典,瑞典,103,瑞典,924,149,0,0,64.62631871977895,77.22779649392618
93,瑞士,瑞士,104,瑞士,1359,234,11,5,11.567842828022984,5.104879920475219
94,塞尔维亚,塞尔维亚,105,塞尔维亚,41,10,0,0,16.158105261964824,9.776125219837315
95,塞内加尔,塞内加尔,106,塞内加尔,21,11,0,0,24.687196205215827,15.868518139954155
96,塞浦路斯,塞浦路斯,107,塞浦路斯,21,7,0,0,5.7045463820209115,0.9150667581822769
97,沙特阿拉伯,沙特阿拉伯,108,沙特阿拉伯,103,41,0,0,65.94437383515957,175.59795618430664
98,圣马力诺,圣马力诺,111,圣马力诺,92,26,5,3,1.1315150601924215,0.05342853514833507
99,斯里兰卡,斯里兰卡,113,斯里兰卡,11,5,0,0,10.823566818714909,5.654757879000185
100,斯洛伐克,斯洛伐克,114,斯洛伐克,44,14,0,0,12.817386388913786,6.015673484608724
101,斯洛文尼亚,斯洛文尼亚,115,斯洛文尼亚,141,0,0,0,8.241584103350847,2.260139332641655
102,斯威士兰,斯威士兰,116,斯威士兰,1,1,0,0,4.598394421340223,1.3598776196135145
103,苏丹,苏丹,117,苏丹,1,0,0,0,63.35097060783581,158.0466263581876
104,泰国,泰国,118,泰国,75,0,1,0,57.346016213812554,43.62243168362355
105,特立尼达和多巴哥,特立尼达和多巴哥,119,特立尼达和多巴哥,1,0,0,0,3.680629586951003,0.4137188520633441
106,突尼斯,突尼斯,120,突尼斯,16,0,0,0,22.458696037337344,15.988278012532524
107,土耳其,土耳其,121,土耳其,5,0,0,0,67.63347978872251,82.29688605646851
108,委内瑞拉,委内瑞拉,122,委内瑞拉,2,0,0,0,58.55556373422501,75.57584372702944
109,文莱,文莱,123,文莱,40,15,0,0,4.61752042414165,0.4896262132202988
110,乌克兰,乌克兰,124,乌克兰,3,0,1,0,63.05817999968692,73.69212728191064
111,西班牙,西班牙,125,西班牙,5753,1522,136,16,55.118841175901764,54.280343511511816
112,希腊,希腊,126,希腊,228,130,2,1,58.47034243451138,12.923495647177484
113,新加坡,新加坡,127,新加坡,212,12,0,0,1.9553307336349242,0.2523737098666097
114,新西兰,新西兰,128,新西兰,6,0,0,0,58.304165366366284,29.63120638720386
115,匈牙利,匈牙利,129,匈牙利,32,13,0,0,17.81727862828512,10.96767898880457
116,牙买加,牙买加,130,牙买加,8,1,0,0,4.827981222792307,0.8247678758169106
