OBJECTID,globe_中文名,name_cn,gb_yq_20200327xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,维尔京群岛,维尔京群岛,170,维尔京群岛,2,2,0,0,1.3885315315819444,0.020042683177038677
2,阿尔巴尼亚,阿尔巴尼亚,1,阿尔巴尼亚,186,12,8,3,7.973839727970497,2.9615437393915847
3,阿尔及利亚,阿尔及利亚,2,阿尔及利亚,305,41,21,4,68.11289203523224,213.6824817901263
4,阿富汗,阿富汗,3,阿富汗,80,0,2,0,46.10315447724969,61.25874997452199
5,阿根廷,阿根廷,4,阿根廷,502,115,8,2,124.43384391102639,278.07097318538524
6,阿联酋,阿联酋,5,阿联酋,333,0,2,0,15.781914584221616,7.623950770634311
7,阿曼,阿曼,7,阿曼,109,10,0,0,30.60536529088686,26.863630254245184
8,阿塞拜疆,阿塞拜疆,8,阿塞拜疆,122,29,3,1,20.694081153422545,8.877991750422158
9,埃及,埃及,9,埃及,495,39,24,3,46.51183683093997,88.79406872386022
10,埃塞俄比亚,埃塞俄比亚,10,埃塞俄比亚,12,0,0,0,43.97351072336223,93.69755942008183
11,爱尔兰,爱尔兰,11,爱尔兰,1819,255,19,10,25.60628985993701,9.67974515082728
12,爱沙尼亚,爱沙尼亚,12,爱沙尼亚,538,134,1,0,19.427155810421777,6.571056220254507
13,安道尔,安道尔,13,安道尔,231,18,3,0,1.148365581641772,0.048186015059485804
14,安哥拉,安哥拉,14,安哥拉,2,0,0,0,57.32636066901143,104.60375782398734
15,安圭拉,安圭拉,15,安圭拉,2,2,0,0,0.3092802450448308,0.004158549292073257
16,奥地利,奥地利,17,奥地利,7029,1141,52,18,19.785455433542936,9.894883715319143
17,澳大利亚,澳大利亚,18,澳大利亚,2985,186,13,2,218.54706975542805,697.4668706949112
18,巴巴多斯,巴巴多斯,19,巴巴多斯,18,0,0,0,0.6844309242774945,0.019499622491432354
19,巴布亚新几内亚,巴布亚新几内亚,20,巴布亚新几内亚,1,0,0,0,77.82782546054348,37.67034661422462
20,巴哈马,巴哈马,21,巴哈马,5,0,0,0,23.878201820394388,1.1782859882294523
21,巴基斯坦,巴基斯坦,22,巴基斯坦,1057,0,8,0,71.22729220349414,74.32325893852614
22,巴拉圭,巴拉圭,23,巴拉圭,41,0,3,0,29.507348534862906,35.36356063685132
23,巴林,巴林,24,巴林,458,39,4,0,0.7772869774829815,0.017878320008286028
24,巴拿马,巴拿马,25,巴拿马,558,0,8,0,21.354909305120373,6.231212989740699
25,巴西,巴西,26,巴西,2433,0,57,0,203.68408592836326,713.6777002155402
26,白俄罗斯,白俄罗斯,27,白俄罗斯,86,0,0,0,26.620256515886354,29.22619005212672
27,保加利亚,保加利亚,32,保加利亚,264,22,3,0,18.486250579841048,12.036351750300607
28,贝宁,贝宁,31,贝宁,6,1,0,0,17.007586183265026,10.201565074342176
29,比利时,比利时,33,比利时,6235,1298,220,42,9.590603160642818,3.8561271050731585
30,冰岛,冰岛,35,冰岛,802,65,2,0,44.847522370830106,19.530864421033492
31,波多黎各,波多黎各,36,波多黎各,64,13,2,0,4.370298525952583,0.7359221104986653
32,波兰,波兰,38,波兰,1221,170,16,2,29.423172375593367,41.04475511016577
33,玻利维亚,玻利维亚,39,玻利维亚,39,0,0,0,49.648701517101635,90.23410133435924
34,伯利兹,伯利兹,40,伯利兹,2,0,0,0,7.306004157341449,2.064137182040594
35,不丹,不丹,41,不丹,3,1,0,0,8.209429426612896,3.265604484775075
36,布基纳法索,布基纳法索,42,布基纳法索,146,0,3,0,24.998218258751336,22.92749673022636
37,赤道几内亚,赤道几内亚,43,赤道几内亚,6,0,0,0,8.117197849601027,2.4481406002445376
38,丹麦,丹麦,44,丹麦,1877,153,41,7,26.661887386371166,6.24551876266293
39,德国,德国,45,德国,42288,5780,253,55,43.899459389523734,46.496000691781006
40,东帝汶,东帝汶,46,东帝汶,1,0,0,0,6.727455188594198,1.2596039661908156
41,多哥,多哥,47,多哥,24,1,0,0,12.905585097384508,4.596587935937527
42,多米尼加,多米尼加,48,多米尼加,488,96,10,0,11.055731619200202,4.114215997556154
43,多米尼克,多米尼克,49,多米尼克,11,4,0,0,0.9165300698184753,0.03803228906601025
44,俄罗斯,俄罗斯,50,俄罗斯,1036,196,3,1,1086.6226050090904,2913.4201356909866
45,厄瓜多尔,厄瓜多尔,51,厄瓜多尔,1211,0,29,0,31.184868452122494,20.283979588690894
46,厄立特里亚,厄立特里亚,52,厄立特里亚,6,2,0,0,22.071733292904415,10.373414452655537
47,法国,法国,53,法国,28786,3866,1695,364,65.84948177344266,66.25266750373707
48,法属圭亚那,法属圭亚那,56,法属圭亚那,28,0,0,0,12.489485824908574,7.400661348997434
49,梵蒂冈,梵蒂冈,57,梵蒂冈,4,0,0,0,0.7842750336300661,0.014991910040506387
50,菲律宾,菲律宾,58,菲律宾,707,71,45,7,104.06761462124311,23.03913329305567
51,斐济,斐济,59,斐济,5,0,0,0,10.038326159203173,1.3592394278714621
52,芬兰,芬兰,60,芬兰,958,78,4,1,54.27434433195834,62.15277280808904
53,佛得角,佛得角,61,佛得角,3,0,0,0,5.28072962671278,0.10443916008448687
54,冈比亚,冈比亚,64,冈比亚,2,0,0,0,6.839600022087903,0.9524190650590083
55,刚果（布）,刚果（布）,62,刚果（布）,4,0,0,0,33.95356808269201,26.898727715137518
56,刚果（金）,刚果（金）,63,刚果（金）,54,3,4,1,76.61868841342908,190.0706197243542
57,哥伦比亚,哥伦比亚,65,哥伦比亚,470,0,4,0,61.59567021749172,92.59563807972012
58,哥斯达黎加,哥斯达黎加,66,哥斯达黎加,201,0,2,0,12.5587484329418,4.506711944937891
59,格林纳达,格林纳达,67,格林纳达,7,6,0,0,0.5389204410902086,0.011831310053282345
60,格陵兰,格陵兰,68,格陵兰,6,1,0,0,524.1608440928724,671.69119717424
61,格鲁吉亚,格鲁吉亚,69,格鲁吉亚,81,4,0,0,15.20674687353579,7.632983375562627
62,古巴,古巴,71,古巴,67,10,1,0,31.39364180663001,9.419455764334339
63,瓜德罗普,瓜德罗普,72,瓜德罗普,76,0,0,0,0.8915983816403168,0.04435794730802925
64,关岛,关岛,73,关岛,45,8,1,0,0.9921547949026102,0.057939969908538
65,圭亚那,圭亚那,74,圭亚那,5,0,1,0,23.471985101083078,16.922442814384237
66,哈萨克斯坦,哈萨克斯坦,75,哈萨克斯坦,125,28,0,0,134.03289397384557,323.84800501333945
67,海地,海地,76,海地,8,0,0,0,10.742145566003723,2.2668577654258373
68,韩国,韩国,77,韩国,9332,91,139,8,17.98289336983087,9.888493694113702
69,阿鲁巴,阿鲁巴,6,阿鲁巴,19,0,0,0,0.5011279974658756,0.005806866656265818
70,库拉索,库拉索,99,库拉索,7,1,1,0,1.0267602865036105,0.018749631827507413
71,黑山,黑山,79,黑山,67,15,1,0,5.5204601865777025,1.3685671163827444
72,洪都拉斯,洪都拉斯,80,洪都拉斯,52,0,1,1,15.959010772843044,9.467039963324687
73,吉布提,吉布提,81,吉布提,12,0,0,0,7.321132164427671,1.9696939954665187
74,吉尔吉斯斯坦,吉尔吉斯斯坦,82,吉尔吉斯斯坦,58,14,0,0,30.688005248496406,19.771808082609148
75,几内亚,几内亚,86,几内亚,5,1,0,0,26.23962135605981,21.418330695591816
76,几内亚比绍,几内亚比绍,87,几内亚比绍,2,0,0,0,12.294015676967836,2.4913868196675657
77,加拿大,加拿大,83,加拿大,3555,146,35,0,1539.468150466872,1671.6081244929162
78,加纳,加纳,84,加纳,132,64,3,1,20.85129287889863,20.099997197909595
79,加蓬,加蓬,85,加蓬,6,0,1,0,27.0405892544518,20.540080925034847
80,柬埔寨,柬埔寨,88,柬埔寨,98,2,0,0,18.63402528346828,15.451451733370222
81,捷克,捷克,89,捷克,2062,408,9,3,15.818643910981182,9.585600844794435
82,津巴布韦,津巴布韦,90,津巴布韦,3,1,1,0,24.014565161190962,33.489217774594756
83,喀麦隆,喀麦隆,92,喀麦隆,75,5,1,0,38.62394925249105,38.73945937697286
84,卡塔尔,卡塔尔,91,卡塔尔,549,12,0,0,4.7873525990949535,1.1415420848891193
85,开曼群岛,开曼群岛,93,开曼群岛,8,0,1,0,0.7550701551738679,0.018478842263955558
86,科特迪瓦,科特迪瓦,94,科特迪瓦,80,0,0,0,27.200269676136642,26.51686093435276
87,科威特,科威特,95,科威特,208,0,0,0,7.773666661161529,1.8230353152445502
88,克罗地亚,克罗地亚,97,克罗地亚,495,77,2,1,27.832937848644814,6.697720489730894
89,肯尼亚,肯尼亚,98,肯尼亚,25,0,1,1,32.64453207718531,46.05800391098552
90,拉脱维亚,拉脱维亚,100,拉脱维亚,244,23,0,0,17.674475146876787,8.498445404999151
91,老挝,老挝,101,老挝,6,3,0,0,32.11879367718464,18.94525851603373
92,黎巴嫩,黎巴嫩,102,黎巴嫩,368,35,6,2,4.3968577364534935,0.9857291017588082
93,立陶宛,立陶宛,105,立陶宛,299,25,4,0,13.70673626173672,9.209607774088758
94,利比里亚,利比里亚,103,利比里亚,3,0,0,0,13.951479545146258,7.8579063602181005
95,利比亚,利比亚,104,利比亚,1,0,0,0,56.750229560444566,148.12031283507005
96,列支敦士登,列支敦士登,106,列支敦士登,56,5,0,0,0.5537338509349466,0.014136864978603553
97,留尼汪,留尼汪,107,留尼汪,135,41,0,0,1.7500307292354234,0.173901524911532
98,卢森堡,卢森堡,108,卢森堡,1453,120,9,1,2.225166435247802,0.33199722996221875
99,卢旺达,卢旺达,109,卢旺达,50,9,0,0,6.096449092656216,2.1025448251222034
100,罗马尼亚,罗马尼亚,110,罗马尼亚,1029,123,17,4,26.454777954956725,26.917526584737633
101,马达加斯加,马达加斯加,111,马达加斯加,24,5,0,0,40.419938104760654,49.63370971962616
102,马来西亚,马来西亚,115,马来西亚,2031,235,23,4,49.83001741353569,26.721544235033527
103,马里,马里,116,马里,2,0,0,0,59.941406505727436,105.49231858205978
104,北马其顿,北马其顿,29,北马其顿,201,24,3,1,7.2354519205800685,3.017952795752632
105,毛里求斯,毛里求斯,119,毛里求斯,81,34,2,0,1.3969938726654902,0.11273432997090928
106,毛里塔尼亚,毛里塔尼亚,120,毛里塔尼亚,3,1,0,0,51.12697975701829,92.62167488315926
107,美国,美国,121,美国,68334,4764,991,107,527.3581157276379,1112.9050036308156
108,蒙古,蒙古,123,蒙古,11,1,0,0,79.92807842067936,185.73206105499986
109,孟加拉国,孟加拉国,125,孟加拉国,48,9,5,1,28.416094170389727,11.668103308515434
110,秘鲁,秘鲁,34,秘鲁,580,100,9,0,63.8239657232155,107.39829219089364
111,缅甸,缅甸,126,缅甸,5,2,0,0,68.15891166902985,58.76459847928267
112,摩尔多瓦,摩尔多瓦,127,摩尔多瓦,177,28,2,1,9.976920803980223,3.8970990094261504
113,摩洛哥,摩洛哥,128,摩洛哥,275,50,10,4,35.673396061731864,39.0925831357494
114,摩纳哥,摩纳哥,129,摩纳哥,19,0,0,0,0.8523161152170328,0.027462250009287616
115,莫桑比克,莫桑比克,130,莫桑比克,5,0,0,0,61.297781375557676,63.82014500330873
116,墨西哥,墨西哥,131,墨西哥,478,0,5,0,131.3586095527125,173.73554611987979
117,纳米比亚,纳米比亚,132,纳米比亚,8,3,0,0,48.78547843601829,73.37887132917369
118,南非,南非,133,南非,927,218,0,0,67.18513901699947,116.54854257558914
119,尼泊尔,尼泊尔,135,尼泊尔,3,0,0,0,20.23630907856112,13.060309627616824
120,尼加拉瓜,尼加拉瓜,134,尼加拉瓜,2,0,0,0,15.025294999017735,10.71392260755255
121,尼日尔,尼日尔,136,尼日尔,10,8,1,1,48.70492264514461,99.739093443444
122,尼日利亚,尼日利亚,137,尼日利亚,65,19,1,0,41.78217691309874,76.66049680286469
123,挪威,挪威,138,挪威,3156,240,14,2,267.8994298156042,81.57468541459626
124,葡萄牙,葡萄牙,139,葡萄牙,3544,549,60,17,22.388757655282383,9.403946300113345
125,日本,日本,141,日本,1387,96,46,1,104.78979920248702,38.62456043847649
126,瑞典,瑞典,142,瑞典,2806,296,66,24,64.62631871977895,77.22779649392618
127,瑞士,瑞士,143,瑞士,10714,1000,161,58,11.567842828022984,5.104879920475219
128,萨尔瓦多,萨尔瓦多,144,萨尔瓦多,13,0,0,0,5.9035525389313515,1.8024637233044065
129,塞尔维亚,塞尔维亚,145,塞尔维亚,457,73,7,3,16.158105261964824,9.776125219837315
130,塞内加尔,塞内加尔,146,塞内加尔,105,6,0,0,24.687196205215827,15.868518139954155
131,塞浦路斯,塞浦路斯,147,塞浦路斯,146,14,3,0,5.7045463820209115,0.9150667581822769
132,沙特阿拉伯,沙特阿拉伯,149,沙特阿拉伯,1012,112,3,1,65.94437383515957,175.59795618430664
133,圣马力诺,圣马力诺,154,圣马力诺,218,10,21,0,1.1315150601924215,0.05342853514833507
134,斯里兰卡,斯里兰卡,156,斯里兰卡,106,4,0,0,10.823566818714909,5.654757879000185
135,斯洛伐克,斯洛伐克,157,斯洛伐克,226,10,0,0,12.817386388913786,6.015673484608724
136,斯洛文尼亚,斯洛文尼亚,158,斯洛文尼亚,577,49,5,1,8.241584103350847,2.260139332641655
137,斯威士兰,斯威士兰,159,斯威士兰,6,2,0,0,4.598394421340223,1.3598776196135145
138,苏丹,苏丹,160,苏丹,3,0,1,0,63.35097060783581,158.0466263581876
139,苏里南,苏里南,161,苏里南,7,0,0,0,14.84675909558034,11.428348254921412
140,索马里,索马里,162,索马里,3,1,0,0,48.13409307429269,51.98141783234195
141,泰国,泰国,163,泰国,1136,202,5,1,57.346016213812554,43.62243168362355
142,坦桑尼亚,坦桑尼亚,164,坦桑尼亚,13,0,0,0,42.077890030347234,78.86090528003723
143,特立尼达和多巴哥,特立尼达和多巴哥,166,特立尼达和多巴哥,61,1,1,0,3.680629586951003,0.4137188520633441
144,突尼斯,突尼斯,167,突尼斯,197,24,5,0,22.458696037337344,15.988278012532524
145,土耳其,土耳其,168,土耳其,3629,1196,75,16,67.63347978872251,82.29688605646851
146,危地马拉,危地马拉,169,危地马拉,24,0,1,0,15.355510089228543,9.31605558714351
147,委内瑞拉,委内瑞拉,171,委内瑞拉,91,0,0,0,58.55556373422501,75.57584372702944
148,文莱,文莱,172,文莱,114,5,0,0,4.61752042414165,0.4896262132202988
149,乌干达,乌干达,173,乌干达,14,0,0,0,19.661012894744616,18.979199764248577
150,乌克兰,乌克兰,174,乌克兰,218,62,5,0,63.05817999968692,73.69212728191064
151,乌拉圭,乌拉圭,175,乌拉圭,217,0,0,0,16.941747967566673,17.708958502391088
152,乌兹别克斯坦,乌兹别克斯坦,176,乌兹别克斯坦,83,18,0,0,60.5666233837278,45.83407503762229
153,西班牙,西班牙,177,西班牙,56188,8578,4089,655,55.118841175901764,54.280343511511816
154,希腊,希腊,178,希腊,892,71,26,4,58.47034243451138,12.923495647177484
155,新加坡,新加坡,179,新加坡,683,52,2,0,1.9553307336349242,0.2523737098666097
156,新喀里多尼亚,新喀里多尼亚,180,新喀里多尼亚,14,0,0,0,0.3153846941739794,0.0043535203997104345
157,新西兰,新西兰,181,新西兰,338,76,0,0,58.304165366366284,29.63120638720386
158,匈牙利,匈牙利,182,匈牙利,300,39,10,0,17.81727862828512,10.96767898880457
159,叙利亚,叙利亚,183,叙利亚,5,0,0,0,20.628619889358337,18.555305741023673
160,牙买加,牙买加,184,牙买加,26,0,1,0,4.827981222792307,0.8247678758169106
161,亚美尼亚,亚美尼亚,185,亚美尼亚,329,39,1,1,9.904000073855808,3.665524679494105
162,伊拉克,伊拉克,186,伊拉克,382,36,36,7,30.660664906794203,41.78992464134522
163,伊朗,伊朗,187,伊朗,29406,2389,2234,157,68.40164742880594,155.27545671985794
164,以色列,以色列,188,以色列,3035,666,10,5,8.297262355484245,2.635821759653155
165,意大利,意大利,189,意大利,80539,6153,8165,660,62.44360010363238,33.478741916560494
166,印度,印度,190,印度,724,75,17,4,131.09065847419012,259.72588140084724
167,印度尼西亚,印度尼西亚,191,印度尼西亚,893,103,78,20,332.89793967106874,150.2324304884168
168,英国,英国,192,英国,11662,2129,578,115,79.99039540456747,32.91943771179039
169,约旦,约旦,193,约旦,212,40,0,0,16.44573457072095,8.174769097572026
170,越南,越南,194,越南,153,12,0,0,51.129595842029055,28.049825586585218
171,赞比亚,赞比亚,195,赞比亚,3,0,0,0,44.99223003303926,63.45705186734683
172,乍得,乍得,197,乍得,5,2,0,0,50.18828397262675,107.57261660981044
173,智利,智利,199,智利,1306,164,4,1,206.21721206455453,76.94303951148807
174,中非,中非,200,中非,5,0,0,0,39.123866083048675,51.868558185838594
175,中国,中国,201,中国,82213,135,3301,3,260.04206422474147,965.6285542020123
176,其他,其他,140,其他,712,0,7,0,0.4374878337223012,0.011018707453039386
177,被占巴勒斯坦领土,被占巴勒斯坦领土,30,被占巴勒斯坦领土,84,20,1,0,2.9335410717863564,0.16990022406385694
178,波黑,波黑,37,波黑,213,40,3,0,8.895300903470677,3.9014952814945154
