OBJECTID,name_cn,globe_中文名,gb_yq_20201017xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,中国,中国,216,中国,91490,30,4746,0,260.0420642247383,965.6285542020121
2,中非,中非,215,中非,4855,0,62,0,39.123866083047595,51.868558185838914
3,智利,智利,214,智利,488190,1694,13529,95,206.21721206455481,76.94303951148804
4,直布罗陀,直布罗陀,213,直布罗陀,531,15,0,0,0.013883779737298728,6.9753811538143086e-06
5,乍得,乍得,212,乍得,1361,11,93,1,50.18828397262692,107.57261660981025
6,泽西岛,泽西岛,211,泽西岛,490,3,32,0,0.4680456816075591,0.010293215375997679
7,赞比亚,赞比亚,210,赞比亚,15659,0,346,0,44.99223003303979,63.45705186734672
8,越南,越南,209,越南,1124,0,35,0,51.12959584202981,28.049825586585435
9,约旦,约旦,208,约旦,34548,1539,310,28,16.44573457072088,8.174769097572032
10,英国,英国,207,英国,689261,15635,43429,136,79.9903954045675,32.91943771178979
11,印度尼西亚,印度尼西亚,206,印度尼西亚,353461,4301,12347,79,332.8979396710687,150.2324304884161
12,印度,印度,205,印度,7432680,62212,112998,837,131.09065847419114,259.7258814008479
13,意大利,意大利,204,意大利,391611,10009,36427,55,62.443600103632996,33.47874191656079
14,以色列,以色列,203,以色列,301024,1613,2138,15,8.297262355484367,2.635821759653274
15,伊朗,伊朗,202,伊朗,522387,4552,29870,265,68.40164742880606,155.2754567198577
16,伊拉克,伊拉克,201,伊拉克,420303,3501,10142,56,30.660664906794505,41.789924641345294
17,也门,也门,200,也门,2059,2,597,0,33.50044179970079,35.87496522122228
18,亚美尼亚,亚美尼亚,199,亚美尼亚,63000,1540,1067,11,9.904000073855858,3.665524679494062
19,牙买加,牙买加,198,牙买加,8132,65,162,2,4.827981222792327,0.8247678758169521
20,叙利亚,叙利亚,197,叙利亚,4987,56,241,3,20.62861988935827,18.55530574102352
21,匈牙利,匈牙利,196,匈牙利,44816,1791,1109,24,17.817278628285067,10.967678988804597
22,新西兰,新西兰,195,新西兰,1527,3,25,0,58.304165366366014,29.631206387203225
23,新喀里多尼亚,新喀里多尼亚,194,新喀里多尼亚,27,0,0,0,0.31538469417421466,0.004353520399718735
24,新加坡,新加坡,193,新加坡,57901,9,28,0,1.9553307336349741,0.25237370986662855
25,希腊,希腊,192,希腊,24450,503,490,8,58.47034243451079,12.92349564717751
26,西班牙,西班牙,191,西班牙,936560,15186,33775,222,55.11884117590186,54.28034351151165
27,乌兹别克斯坦,乌兹别克斯坦,190,乌兹别克斯坦,62809,325,522,3,60.566623383728384,45.83407503762211
28,乌拉圭,乌拉圭,189,乌拉圭,2417,29,51,0,16.94174796756671,17.708958502391425
29,乌克兰,乌克兰,188,乌克兰,293641,6410,5517,109,63.05817999968566,73.69212728191071
30,乌干达,乌干达,187,乌干达,10334,217,96,0,19.66101289474454,18.979199764248666
31,文莱,文莱,186,文莱,147,0,3,0,4.61752042414142,0.4896262132202135
32,委内瑞拉,委内瑞拉,185,委内瑞拉,85469,464,720,6,58.555563734225444,75.57584372702979
33,维尔京群岛,维尔京群岛,184,维尔京群岛,72,0,1,0,1.388531531582004,0.020042683177033064
34,危地马拉,危地马拉,183,危地马拉,100431,666,3478,25,15.355510089228881,9.316055587143682
35,土耳其,土耳其,182,土耳其,343955,1812,9153,73,67.6334797887219,82.29688605646889
36,突尼斯,突尼斯,181,突尼斯,34790,0,512,0,22.45869603733724,15.988278012532687
37,特立尼达和多巴哥,特立尼达和多巴哥,180,特立尼达和多巴哥,5194,40,93,0,3.6806295869510457,0.41371885206333986
38,特克斯和凯科斯群岛,特克斯和凯科斯群岛,179,特克斯和凯科斯群岛,696,0,6,0,0.16907941240067453,0.0007785022642430304
39,坦桑尼亚,坦桑尼亚,178,坦桑尼亚,509,0,21,0,42.0778900303477,78.86090528003739
40,泰国,泰国,177,泰国,3679,10,59,0,57.34601621381301,43.622431683623525
41,塔吉克斯坦,塔吉克斯坦,176,塔吉克斯坦,10414,40,80,0,28.046557374770885,14.287187520531072
42,索马里,索马里,175,索马里,3864,0,99,0,48.134093074293155,51.981417832342586
43,所罗门群岛,所罗门群岛,174,所罗门群岛,3,0,0,0,21.645114509328373,1.697236207939546
44,苏里南,苏里南,173,苏里南,5094,11,109,1,14.846759095580548,11.428348254921477
45,苏丹,苏丹,172,苏丹,13691,0,836,0,63.35097060783615,158.0466263581875
46,斯威士兰,斯威士兰,171,斯威士兰,5746,13,115,0,4.598394421340182,1.359877619613463
47,斯洛文尼亚,斯洛文尼亚,170,斯洛文尼亚,11520,836,153,0,8.241584103351055,2.260139332641656
48,斯洛伐克,斯洛伐克,169,斯洛伐克,26300,2075,71,0,12.817386388913626,6.015673484608492
49,斯里兰卡,斯里兰卡,168,斯里兰卡,5354,110,13,0,10.823566818714717,5.6547578790002735
50,圣文森特和格林纳丁斯,圣文森特和格林纳丁斯,167,圣文森特和格林纳丁斯,65,1,0,0,0.5292685976111337,0.013676869382207524
51,圣皮埃尔和密克隆,圣皮埃尔和密克隆,166,圣皮埃尔和密克隆,16,0,0,0,0.6753316023788365,0.011671034933068479
52,圣马力诺,圣马力诺,165,圣马力诺,784,3,42,0,1.1315150601924537,0.053428535148338854
53,圣马丁,圣马丁,164,圣马丁,1268,38,30,0,0.15159164744217332,0.0008890849820801385
54,圣卢西亚,圣卢西亚,163,圣卢西亚,32,1,0,0,0.7709442296969025,0.028303511668235432
55,圣基茨和尼维斯,圣基茨和尼维斯,162,圣基茨和尼维斯,19,0,0,0,0.7962820065435684,0.016710142022505477
56,圣多美和普林西比,圣多美和普林西比,161,圣多美和普林西比,932,3,15,0,0.6010461132765064,0.021451675002792155
57,圣巴托洛缪岛,圣巴托洛缪岛,160,圣巴托洛缪岛,72,5,0,0,0.026108062410553995,2.9894488641715255e-05
58,沙特阿拉伯,沙特阿拉伯,159,沙特阿拉伯,341495,433,5144,17,65.94437383515975,175.59795618430638
59,塞舌尔,塞舌尔,158,塞舌尔,148,0,0,0,0.474035543369871,0.008996655297809459
60,塞浦路斯,塞浦路斯,157,塞浦路斯,2379,198,25,0,5.704546382021097,0.9150667581823533
61,塞内加尔,塞内加尔,156,塞内加尔,15368,20,317,1,24.687196205215947,15.868518139954286
62,塞拉利昂,塞拉利昂,155,塞拉利昂,2325,2,73,0,12.60435773370677,5.919323523956352
63,塞尔维亚,塞尔维亚,154,塞尔维亚,35719,265,772,2,16.158105261963865,9.776125219837244
64,萨尔瓦多,萨尔瓦多,153,萨尔瓦多,31265,204,912,4,5.903552538931276,1.8024637233042697
65,瑞士,瑞士,152,瑞士,74227,3087,1822,5,11.567842828022886,5.104879920475372
66,瑞典,瑞典,151,瑞典,103200,0,5918,0,64.62631871977871,77.22779649392695
67,日本,日本,150,日本,92063,632,1661,11,104.78979920248611,38.6245604384768
68,其他,其他,149,其他,712,0,13,0,0.4374878335246604,0.011018707466873966
69,葡萄牙,葡萄牙,148,葡萄牙,95902,2608,2149,21,22.388757655282816,9.403946300113338
70,挪威,挪威,147,挪威,16136,183,278,0,267.8994298156009,81.5746854145941
71,尼日利亚,尼日利亚,146,尼日利亚,61194,212,1119,3,41.78217691309813,76.66049680286514
72,尼日尔,尼日尔,145,尼日尔,1209,4,69,0,48.70492264514408,99.73909344344415
73,尼加拉瓜,尼加拉瓜,143,尼加拉瓜,4297,0,154,0,15.02529499901808,10.713922607552801
74,尼泊尔,尼泊尔,144,尼泊尔,126137,4392,715,21,20.23630907856142,13.060309627617007
75,南苏丹,南苏丹,142,南苏丹,2817,0,55,0,40.022963518148636,51.96847326829974
76,南非,南非,141,南非,700203,2019,18370,61,67.18513901699886,116.54854257558902
77,纳米比亚,纳米比亚,140,纳米比亚,12215,112,131,1,48.785478436018494,73.37887132917362
78,墨西哥,墨西哥,139,墨西哥,834910,5514,85285,387,131.358609552713,173.73554611987944
79,莫桑比克,莫桑比克,138,莫桑比克,10612,75,73,0,61.29778137555783,63.82014500330906
80,摩纳哥,摩纳哥,137,摩纳哥,255,2,2,0,0.8523161152170411,0.02746225000931171
81,摩洛哥,摩洛哥,136,摩洛哥,167148,3498,2818,46,35.6733960617318,39.09258313574913
82,摩尔多瓦,摩尔多瓦,135,摩尔多瓦,65860,784,1549,19,9.976920803980313,3.8970990094260927
83,缅甸,缅甸,134,缅甸,33488,1137,799,34,68.15891166902856,58.76459847928221
84,秘鲁,秘鲁,34,秘鲁,859740,2789,33577,65,63.82396572321608,107.39829219089371
85,孟加拉国,孟加拉国,133,孟加拉国,386086,1527,5623,15,28.41609417039054,11.66810330851551
86,蒙塞拉特岛,蒙塞拉特岛,132,蒙塞拉特岛,13,0,1,0,0.3013145727525658,0.004275569856415917
87,蒙古,蒙古,131,蒙古,320,0,0,0,79.9280784206789,185.73206105499946
88,美属维尔京群岛,美属维尔京群岛,130,美属维尔京群岛,1329,2,21,1,0.6600723480560536,0.010213949793748518
89,美国,美国,129,美国,7896895,63044,216073,874,527.3581157276383,1112.9050036308156
90,毛里塔尼亚,毛里塔尼亚,128,毛里塔尼亚,7603,18,163,0,51.12697975701862,92.621674883159
91,毛里求斯,毛里求斯,127,毛里求斯,407,3,10,0,1.3969938726654658,0.11273432997091014
92,马约特岛,马约特岛,126,马约特岛,4030,0,43,0,0.5941586579074284,0.01314678003616037
93,马提尼克,马提尼克,125,马提尼克,2266,9,25,1,1.122090061715181,0.06328798788871343
94,马里亚纳群岛,马里亚纳群岛,124,马里亚纳群岛,80,0,2,0,5.052993281206864,0.09621417961534802
95,马里,马里,123,马里,3368,0,132,0,59.941406505727656,105.49231858205916
96,马来西亚,马来西亚,122,马来西亚,18758,629,176,6,49.83001741353516,26.72154423503361
97,马拉维,马拉维,121,马拉维,5842,6,181,0,22.71761665511548,7.855054864778357
98,马耳他,马耳他,120,马耳他,4282,130,45,0,0.6356257713717046,0.022850810803181534
