OBJECTID,NAME,CAPITAL,name_cn,OBJECTID1,地区国家,累计确诊,新增确诊,Shape_Length,Shape_Area
1,AFGHANISTAN,KABUL,阿富汗,2,阿富汗,1,0,44.39791672042403,61.77838504385045
2,ALGERIA,ALGIERS,阿尔及利亚,1,阿尔及利亚,1,0,64.78983603064924,211.07810982477505
3,AUSTRALIA,CANBERRA,澳大利亚,10,澳大利亚,25,1,206.4865949311044,697.1114800574247
4,AUSTRIA,VIENNA,奥地利,9,奥地利,10,5,18.905693502473344,9.735114934724765
5,AZERBAIJAN,BAKU,阿塞拜疆,5,阿塞拜疆,3,3,22.010723597501475,9.046037090559755
6,BELARUS,MINSK,白俄罗斯,14,白俄罗斯,1,0,27.870191347539777,28.061685716400376
7,BELGIUM,BRUSSELS,比利时,16,比利时,1,0,9.726358516656175,3.4906112792500434
8,BRAZIL,BRASILIA,巴西,13,巴西,2,1,164.12452251137518,707.1395292690265
9,CAMBODIA,PHNOM PENH,柬埔寨,28,柬埔寨,1,0,17.283266000242786,15.09745870404986
10,CANADA,OTTAWA,加拿大,27,加拿大,19,5,1555.8759270941462,1647.7500982682654
11,CHINA,BEIJING,中国,60,中国,80174,206,248.8216693624411,958.1973887475898
12,CROATIA,ZAGREB,克罗地亚,31,克罗地亚,7,2,22.812406876081635,6.473345062440212
13,DENMARK,COPENHAGEN,丹麦,17,丹麦,3,1,20.984591407458968,4.780220801379913
14,ECUADOR,QUITO,厄瓜多尔,20,厄瓜多尔,1,1,22.180158856629767,20.291705791999796
15,EGYPT,CAIRO,埃及,6,埃及,1,0,49.65185598660022,91.19834555634189
16,ESTONIA,TALLINN,爱沙尼亚,8,爱沙尼亚,1,0,12.458160889657083,6.39265751952232
17,FINLAND,HELSINKI,芬兰,23,芬兰,2,0,49.60063770424547,62.02673094352433
18,FRANCE,PARIS,法国,21,法国,100,43,52.88291275416734,65.77613102716322
19,GEORGIA,TBILISI,格鲁吉亚,24,格鲁吉亚,3,1,16.746239844669926,7.329909273643759
20,GERMANY,BERLIN,德国,18,德国,57,0,40.21621537581479,46.02332184825026
21,GREECE,ATHENS,希腊,50,希腊,3,0,39.99982541227063,12.204790855850106
22,INDIA,NEW DELHI,印度,57,印度,3,0,139.9762158568565,279.551567762552
23,IRAN,TEHRAN,伊朗,54,伊朗,593,205,64.97647898598436,156.9243202616742
24,IRAQ,BAGHDAD,伊拉克,53,伊拉克,13,5,30.75412137504154,43.00595817705017
25,IRELAND,DUBLIN,爱尔兰,7,爱尔兰,1,1,24.58022161307143,9.033930339350047
26,ISRAEL,JERUSALEM,以色列,55,以色列,7,2,9.788229380472943,2.315831294035185
27,ITALY,ROME,意大利,56,意大利,1128,240,58.821775343843065,33.8576392138523
28,JAPAN,TOKYO,日本,43,日本,239,9,81.93419085400431,38.97019479375141
29,"KOREA, REPUBLIC OF",SEOUL,韩国,25,韩国,3736,586,16.01194866250559,8.870230280248608
30,KUWAIT,KUWAIT,科威特,30,科威特,45,0,6.643082132156529,1.5868963288747104
31,LEBANON,BEYROUTH,黎巴嫩,32,黎巴嫩,2,0,4.281005656459998,0.757334093875028
32,LITHUANIA,VILNIUS,立陶宛,33,立陶宛,1,0,15.167299420447042,10.254560950649939
33,MALAYSIA,KUALA LUMPUR,马来西亚,35,马来西亚,24,0,49.79989904781451,27.106260339720556
34,MEXICO,MEXICO CITY,墨西哥,38,墨西哥,2,0,127.60170030066884,173.32039758787514
35,NEPAL,KATHMANDU,尼泊尔,39,尼泊尔,1,0,20.02563636391712,13.656719692751231
36,NETHERLANDS,AMSTERDAM,荷兰,26,荷兰,7,5,13.323796425212892,3.8136207710999575
37,NEW ZEALAND,AVARUA,新西兰,52,新西兰,1,0,56.3000914584292,28.263342103650487
38,NIGERIA,ABUDJA,尼日利亚,40,尼日利亚,1,0,40.65620397444855,74.7900656862754
39,NORWAY,OSLO,挪威,41,挪威,15,9,237.4227786521175,77.90049586680038
40,OMAN,MUSCAT,阿曼,4,阿曼,6,0,26.02143315594352,28.39426364676298
41,PAKISTAN,ISLAMABAD,巴基斯坦,11,巴基斯坦,4,2,57.33372751374997,75.43359703027468
42,PHILIPPINES,MANILA,菲律宾,22,菲律宾,3,0,78.00998268593636,22.26058326517528
43,QATAR,DOHA,卡塔尔,29,卡塔尔,1,1,3.826127342498594,0.9125836497464307
44,ROMANIA,BUCURESTI,罗马尼亚,34,罗马尼亚,3,0,24.401269642290146,27.38647333444998
45,RUSSIAN FEDERATION,MOSCOW,俄罗斯,19,俄罗斯,2,0,1018.4494722665427,2909.6137863925564
46,SPAIN,MADRID,西班牙,49,西班牙,45,13,39.510725651688084,52.655416386525594
47,SRI LANKA,COLOMBO,斯里兰卡,47,斯里兰卡,1,0,12.089329830229625,4.790627305949876
48,SWEDEN,STOCKHOLM,瑞典,44,瑞典,13,1,60.65674147183005,77.7613184096759
49,SWITZERLAND,BERN,瑞士,45,瑞士,18,8,12.401538231238309,4.980928708144593
50,THAILAND,BANGKOK,泰国,48,泰国,42,0,54.581789578607015,42.558096872050044
51,UNITED ARAB EMIRATES,ABU DHABI,阿联酋,3,阿联酋,19,0,17.674853161960147,8.42085123990175
52,UNITED KINGDOM,LONDON,英国,58,英国,23,3,66.53107646064396,30.733379083350727
53,UNITED STATES,WASHINGTON,美国,36,美国,62,0,480.499004202442,1109.0039059704707
54,VIETNAM,HA NOI,越南,59,越南,16,0,49.97056195189593,27.025888705025615
55,Singapore,,新加坡,51,新加坡,102,4,1.2689056078172032,0.10466184494510426
56,,,其他,42,其他,705,0,0.47041055884463034,0.013365553414913307
