OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20220328xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,227,中国,453469,2022,12911,168,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,226,中非,14339,0,113,0,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,225,智利,3450094,7076,56381,83,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,224,直布罗陀,16851,100,101,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,223,乍得,7288,0,190,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,222,泽西岛,45146,0,119,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,221,赞比亚,316550,49,3966,0,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,220,越南,9011473,91916,42306,48,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,219,约旦,1692485,3171,14031,28,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,218,英国,20691127,0,164453,0,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,217,印度尼西亚,6001751,2798,154774,104,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,216,印度,43020723,1270,521035,31,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,215,意大利,14364723,60612,158782,82,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,214,以色列,3867276,15596,10485,0,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,213,伊朗,7151088,2299,140021,50,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,212,伊拉克,2317977,230,25150,1,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,211,也门,11803,0,2142,0,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,210,亚美尼亚,422468,10,8610,0,9.904000073855808,3.665524679494105
