OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20220730xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,230,中国,5152593,22318,23627,64,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,229,中非,14772,0,113,0,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,228,智利,4224361,9592,59521,44,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,227,直布罗陀,19902,0,105,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,226,乍得,7432,0,193,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,225,泽西岛,58003,0,133,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,224,赞比亚,329483,0,4015,0,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,223,越南,10772980,0,43092,0,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,222,约旦,1709879,0,14074,0,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,221,英国,23304931,0,183953,0,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,220,印度尼西亚,6202893,5398,156983,13,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,219,印度,44000138,20408,526312,54,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,218,意大利,20952476,54417,171882,244,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,217,以色列,4577384,3346,11383,5,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,216,伊朗,7376794,7849,141891,54,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,215,伊拉克,2442499,2085,25311,3,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,214,也门,11849,0,2149,0,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,213,亚美尼亚,425365,0,8633,0,9.904000073855808,3.665524679494105
