OBJECTID,NAME,CAPITAL,name_cn,地区国家,累计确诊,新增确诊,Shape_Length,Shape_Area
1,AUSTRALIA,CANBERRA,澳大利亚,澳大利亚,12,0,206.4865949311044,697.1114800574247
2,CAMBODIA,PHNOM PENH,柬埔寨,柬埔寨,1,0,17.283266000242786,15.09745870404986
3,CANADA,OTTAWA,加拿大,加拿大,4,0,1555.8759270941462,1647.7500982682654
4,CHINA,BEIJING,中国,中国,20471,3235,248.8216693624411,958.1973887475898
5,FINLAND,HELSINKI,芬兰,芬兰,1,0,49.60063770424547,62.02673094352433
6,FRANCE,PARIS,法国,法国,6,0,52.88291275416734,65.77613102716322
7,GERMANY,BERLIN,德国,德国,10,2,40.21621537581479,46.02332184825026
8,INDIA,NEW DELHI,印度,印度,3,1,139.9762158568565,279.551567762552
9,ITALY,ROME,意大利,意大利,2,0,58.821775343843065,33.8576392138523
10,JAPAN,TOKYO,日本,日本,20,0,81.93419085400431,38.97019479375141
11,"KOREA, REPUBLIC OF",SEOUL,韩国,韩国,15,0,16.01194866250559,8.870230280248608
12,MALAYSIA,KUALA LUMPUR,马来西亚,马来西亚,8,0,49.79989904781451,27.106260339720556
13,NEPAL,KATHMANDU,尼泊尔,尼泊尔,1,0,20.02563636391712,13.656719692751231
14,PHILIPPINES,MANILA,菲律宾,菲律宾,2,0,78.00998268593636,22.26058326517528
15,RUSSIAN FEDERATION,MOSCOW,俄罗斯,俄罗斯,2,0,1018.4494722665427,2909.6137863925564
16,SPAIN,MADRID,西班牙,西班牙,1,0,39.510725651688084,52.655416386525594
17,SRI LANKA,COLOMBO,斯里兰卡,斯里兰卡,1,0,12.089329830229625,4.790627305949876
18,SWEDEN,STOCKHOLM,瑞典,瑞典,1,0,60.65674147183005,77.7613184096759
19,THAILAND,BANGKOK,泰国,泰国,19,0,54.581789578607015,42.558096872050044
20,UNITED ARAB EMIRATES,ABU DHABI,阿联酋,阿联酋,5,0,17.674853161960147,8.42085123990175
21,UNITED KINGDOM,LONDON,英国,英国,2,0,66.53107646064396,30.733379083350727
22,UNITED STATES,WASHINGTON,美国,美国,11,3,480.499004202442,1109.0039059704707
23,VIETNAM,HA NOI,越南,越南,8,1,49.97056195189593,27.025888705025615
24,Singapore,,新加坡,新加坡,18,0,1.2689056078172032,0.10466184494510426
