OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20210902xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,222,中国,123136,33,5685,1,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,221,中非,11296,0,100,0,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,220,智利,1639123,448,36945,8,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,219,直布罗陀,5367,25,97,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,218,乍得,4996,2,174,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,217,泽西岛,9315,66,77,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,216,赞比亚,206522,195,3605,3,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,215,越南,473530,11438,11868,804,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,214,约旦,798091,965,10422,11,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,213,英国,6825078,35493,132742,207,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,212,印度尼西亚,4109093,8955,134356,680,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,211,印度,32857937,47092,439529,509,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,210,意大利,4546487,6496,129290,69,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,209,以色列,1087517,11265,7109,31,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,208,伊朗,5025233,33170,108393,599,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,207,伊拉克,1895459,7309,20878,48,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,206,也门,7900,31,1480,8,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,205,亚美尼亚,243386,636,4876,19,9.904000073855808,3.665524679494105
19,19,牙买加,牙买加,4.82798122279,204,牙买加,68482,351,1549,31,4.827981222792307,0.8247678758169106
20,20,叙利亚,叙利亚,20.6286198894,203,叙利亚,28045,130,2018,5,20.628619889358337,18.555305741023673
21,21,匈牙利,匈牙利,17.8172786283,202,匈牙利,812793,262,30060,1,17.81727862828512,10.96767898880457
22,22,新西兰,新西兰,58.3041653664,201,新西兰,3340,53,26,0,58.304165366366284,29.63120638720386
23,23,新喀里多尼亚,新喀里多尼亚,0.315384694174,200,新喀里多尼亚,136,0,0,0,0.3153846941739794,0.0043535203997104345
24,24,新加坡,新加坡,1.95533073363,199,新加坡,67800,180,55,0,1.9553307336349242,0.2523737098666097
25,25,希腊,希腊,58.4703424345,198,希腊,590828,2871,13744,14,58.47034243451138,12.923495647177484
26,27,西班牙,西班牙,55.1188411759,197,西班牙,4868215,6383,84624,39,55.118841175901764,54.280343511511816
