OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20201027xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,217,中国,91772,47,4746,0,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,216,中非,4863,0,62,0,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,215,智利,503598,1535,14003,59,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,214,直布罗陀,667,7,0,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,213,乍得,1441,4,96,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,212,泽西岛,530,0,32,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,211,赞比亚,16200,83,348,0,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,210,越南,1169,1,35,0,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,209,约旦,55055,1968,624,45,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,208,英国,894694,20890,44998,102,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,207,印度尼西亚,392934,3222,13411,112,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,206,印度,7946429,36470,119502,488,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,205,意大利,542789,17007,37479,141,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,204,以色列,310105,579,2435,42,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,203,伊朗,574856,5960,32953,337,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,202,伊拉克,455398,3691,10671,48,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,201,也门,2064,0,600,0,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,200,亚美尼亚,80410,1600,1222,26,9.904000073855808,3.665524679494105
19,19,牙买加,牙买加,4.82798122279,199,牙买加,8749,35,192,4,4.827981222792307,0.8247678758169106
20,20,叙利亚,叙利亚,20.6286198894,198,叙利亚,5461,53,272,3,20.628619889358337,18.555305741023673
21,21,匈牙利,匈牙利,17.8172786283,197,匈牙利,63642,2079,1535,63,17.81727862828512,10.96767898880457
22,22,新西兰,新西兰,58.3041653664,196,新西兰,1585,1,25,0,58.304165366366284,29.63120638720386
23,23,新喀里多尼亚,新喀里多尼亚,0.315384694174,195,新喀里多尼亚,27,0,0,0,0.3153846941739794,0.0043535203997104345
24,24,新加坡,新加坡,1.95533073363,194,新加坡,57973,3,28,0,1.9553307336349242,0.2523737098666097
25,25,希腊,希腊,58.4703424345,193,希腊,31496,714,581,7,58.47034243451138,12.923495647177484
26,27,西班牙,西班牙,55.1188411759,192,西班牙,1046132,0,34752,0,55.118841175901764,54.280343511511816
27,28,乌兹别克斯坦,乌兹别克斯坦,60.5666233837,191,乌兹别克斯坦,65765,285,554,4,60.5666233837278,45.83407503762229
28,29,乌拉圭,乌拉圭,16.9417479676,190,乌拉圭,2851,44,53,0,16.941747967566673,17.708958502391088
29,30,乌克兰,乌克兰,63.0581799997,189,乌克兰,355601,6677,6590,126,63.05817999968692,73.69212728191064
30,31,乌干达,乌干达,19.6610128947,188,乌干达,11557,114,101,0,19.661012894744616,18.979199764248577
31,32,文莱,文莱,4.61752042414,187,文莱,148,0,3,0,4.61752042414165,0.4896262132202988
32,33,委内瑞拉,委内瑞拉,58.5555637342,186,委内瑞拉,89565,423,773,3,58.55556373422501,75.57584372702944
33,34,维尔京群岛,维尔京群岛,1.38853153158,185,维尔京群岛,72,0,1,0,1.3885315315819444,0.020042683177038677
34,35,危地马拉,危地马拉,15.3555100892,184,危地马拉,104894,107,3651,7,15.355510089228543,9.31605558714351
35,230,瓦利斯群岛和富图纳群岛,瓦利斯群岛和富图纳群岛,0.545708928193,183,瓦利斯群岛和富图纳群岛,1,0,0,0,0.5457089281929385,0.008047407074154939
36,38,土耳其,土耳其,67.6334797887,182,土耳其,363999,2198,9874,75,67.63347978872251,82.29688605646851
37,40,突尼斯,突尼斯,22.4586960373,181,突尼斯,52399,0,983,0,22.458696037337344,15.988278012532524
38,41,特立尼达和多巴哥,特立尼达和多巴哥,3.68062958695,180,特立尼达和多巴哥,5511,8,105,0,3.680629586951003,0.4137188520633441
39,42,特克斯和凯科斯群岛,特克斯和凯科斯群岛,0.169079412401,179,特克斯和凯科斯群岛,701,0,6,0,0.16907941240058638,0.0007785022642414073
40,44,坦桑尼亚,坦桑尼亚,42.0778900303,178,坦桑尼亚,509,0,21,0,42.077890030347234,78.86090528003723
41,45,泰国,泰国,57.3460162138,177,泰国,3746,3,59,0,57.346016213812554,43.62243168362355
42,46,塔吉克斯坦,塔吉克斯坦,28.0465573748,176,塔吉克斯坦,10819,43,81,0,28.046557374771083,14.28718752053117
43,47,索马里,索马里,48.1340930743,175,索马里,3941,0,104,0,48.13409307429269,51.98141783234195
44,48,所罗门群岛,所罗门群岛,21.6451145093,174,所罗门群岛,4,0,0,0,21.645114509328284,1.6972362079395185
45,49,苏里南,苏里南,14.8467590956,173,苏里南,5170,4,109,0,14.84675909558034,11.428348254921412
46,50,苏丹,苏丹,63.3509706078,172,苏丹,13747,5,837,0,63.35097060783581,158.0466263581876
47,51,斯威士兰,斯威士兰,4.59839442134,171,斯威士兰,5863,9,116,0,4.598394421340223,1.3598776196135145
48,52,斯洛文尼亚,斯洛文尼亚,8.24158410335,170,斯洛文尼亚,24080,1130,188,5,8.241584103350847,2.260139332641655
49,53,斯洛伐克,斯洛伐克,12.8173863889,169,斯洛伐克,45155,1312,165,6,12.817386388913786,6.015673484608724
50,54,斯里兰卡,斯里兰卡,10.8235668187,168,斯里兰卡,8413,541,16,1,10.823566818714909,5.654757879000185
51,55,圣文森特和格林纳丁斯,圣文森特和格林纳丁斯,0.529268597611,167,圣文森特和格林纳丁斯,73,0,0,0,0.5292685976113046,0.013676869382214626
52,56,圣皮埃尔和密克隆,圣皮埃尔和密克隆,0.675331602379,166,圣皮埃尔和密克隆,16,0,0,0,0.6753316023787348,0.011671034933062678
53,57,圣马力诺,圣马力诺,1.13151506019,165,圣马力诺,852,33,42,0,1.1315150601924215,0.05342853514833507
54,58,圣马丁,圣马丁,0.151591647442,164,圣马丁,1326,8,30,0,0.15159164744197645,0.0008890849820772644
55,59,圣卢西亚,圣卢西亚,0.770944229697,163,圣卢西亚,54,0,0,0,0.7709442296968367,0.028303511668229614
56,60,圣基茨和尼维斯,圣基茨和尼维斯,0.796282006544,162,圣基茨和尼维斯,19,0,0,0,0.7962820065434348,0.016710142022501075
57,62,圣多美和普林西比,圣多美和普林西比,0.601046113277,161,圣多美和普林西比,941,1,15,0,0.6010461132765041,0.021451675002790604
58,63,圣巴托洛缪岛,圣巴托洛缪岛,0.0261080624106,160,圣巴托洛缪岛,83,0,0,0,0.0261080624106342,2.9894488642148075e-05
59,64,沙特阿拉伯,沙特阿拉伯,65.9443738352,159,沙特阿拉伯,345232,357,5313,17,65.94437383515957,175.59795618430664
60,65,塞舌尔,塞舌尔,0.47403554337,158,塞舌尔,152,0,0,0,0.4740355433699547,0.00899665529781399
61,66,塞浦路斯,塞浦路斯,5.70454638202,157,塞浦路斯,3636,91,25,0,5.7045463820209115,0.9150667581822769
62,67,塞内加尔,塞内加尔,24.6871962052,156,塞内加尔,15565,14,322,1,24.687196205215827,15.868518139954155
63,68,塞拉利昂,塞拉利昂,12.6043577337,155,塞拉利昂,2346,0,74,0,12.604357733705958,5.919323523956169
64,69,塞尔维亚,塞尔维亚,16.158105262,154,塞尔维亚,39827,341,793,1,16.158105261964824,9.776125219837315
65,71,萨尔瓦多,萨尔瓦多,5.90355253893,153,萨尔瓦多,32925,340,953,4,5.9035525389313515,1.8024637233044065
66,72,瑞士,瑞士,11.567842828,152,瑞士,120680,17357,1913,37,11.567842828022984,5.104879920475219
67,73,瑞典,瑞典,64.6263187198,151,瑞典,110594,0,5933,0,64.62631871977895,77.22779649392618
68,74,日本,日本,104.789799202,150,日本,97498,424,1725,7,104.78979920248702,38.62456043847649
69,75,其他,其他,0.437487833525,149,其他,712,0,13,0,0.437487833524811,0.011018707466883847
70,76,葡萄牙,葡萄牙,22.3887576553,148,葡萄牙,121133,2447,2343,27,22.388757655282383,9.403946300113345
71,77,挪威,挪威,267.899429816,147,挪威,17908,676,279,0,267.8994298156042,81.57468541459626
72,78,尼日利亚,尼日利亚,41.7821769131,146,尼日利亚,62111,119,1132,2,41.78217691309874,76.66049680286469
73,79,尼日尔,尼日尔,48.7049226451,145,尼日尔,1215,0,69,0,48.70492264514461,99.739093443444
74,80,尼加拉瓜,尼加拉瓜,15.025294999,143,尼加拉瓜,4362,0,155,0,15.025294999017735,10.71392260755255
75,81,尼泊尔,尼泊尔,20.2363090786,144,尼泊尔,159830,1741,862,15,20.23630907856112,13.060309627616824
76,82,南苏丹,南苏丹,40.0229635181,142,南苏丹,2890,7,56,0,40.02296351814935,51.96847326829997
77,85,南非,南非,67.185139017,141,南非,716759,891,19008,40,67.18513901699947,116.54854257558914
78,86,纳米比亚,纳米比亚,48.785478436,140,纳米比亚,12675,15,133,0,48.78547843601829,73.37887132917369
79,87,墨西哥,墨西哥,131.358609553,139,墨西哥,891160,4360,88924,181,131.3586095527125,173.73554611987979
80,88,莫桑比克,莫桑比克,61.2977813756,138,莫桑比克,12161,175,88,2,61.297781375557676,63.82014500330873
81,89,摩纳哥,摩纳哥,0.852316115217,137,摩纳哥,310,4,2,0,0.8523161152170328,0.027462250009287616
82,90,摩洛哥,摩洛哥,35.6733960617,136,摩洛哥,199745,2264,3373,72,35.673396061731864,39.0925831357494
83,91,摩尔多瓦,摩尔多瓦,9.97692080398,135,摩尔多瓦,71811,308,1700,15,9.976920803980223,3.8970990094261504
84,92,缅甸,缅甸,68.158911669,134,缅甸,46200,1426,1122,27,68.15891166902985,58.76459847928267
85,94,秘鲁,秘鲁,63.8239657232,34,秘鲁,888715,2501,34149,54,63.8239657232155,107.39829219089364
86,95,孟加拉国,孟加拉国,28.4160941704,133,孟加拉国,400251,1436,5818,15,28.416094170389727,11.668103308515434
87,96,蒙塞拉特岛,蒙塞拉特岛,0.301314572753,132,蒙塞拉特岛,13,0,1,0,0.30131457275239754,0.004275569856409628
