OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20210220xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,221,中国,101669,23,4842,0,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,220,中非,4996,0,63,0,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,219,智利,791939,3797,19897,99,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,218,直布罗陀,4227,1,88,1,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,217,乍得,3776,25,132,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,216,泽西岛,3208,1,68,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,215,赞比亚,73203,736,1002,11,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,214,越南,2362,15,35,0,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,213,约旦,357611,867,4528,16,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,212,英国,4095273,12027,119920,533,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,211,印度尼西亚,1263299,10614,34152,183,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,210,印度,10977387,13993,156212,101,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,209,意大利,2780882,15470,95235,348,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,208,以色列,731037,0,5417,0,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,207,伊朗,1558159,8017,59341,77,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,206,伊拉克,661477,4024,13232,12,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,205,也门,2161,3,619,0,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,204,亚美尼亚,170234,223,3159,1,9.904000073855808,3.665524679494105
19,19,牙买加,牙买加,4.82798122279,203,牙买加,20581,271,391,7,4.827981222792307,0.8247678758169106
20,20,叙利亚,叙利亚,20.6286198894,202,叙利亚,15094,49,994,4,20.628619889358337,18.555305741023673
21,21,匈牙利,匈牙利,17.8172786283,201,匈牙利,400111,2995,14252,107,17.81727862828512,10.96767898880457
