OBJECTID,NAME,CAPITAL,name_cn,地区国家,累计确诊,新增确诊,Shape_Length,Shape_Area
1,AUSTRALIA,CANBERRA,澳大利亚,澳大利亚,4,1,206.4865949311044,697.1114800574247
2,CHINA,BEIJING,中国,中国,2744,769,248.8216693624411,958.1973887475898
3,FRANCE,PARIS,法国,法国,3,0,52.88291275416734,65.77613102716322
4,JAPAN,TOKYO,日本,日本,3,0,81.93419085400431,38.97019479375141
5,"KOREA, REPUBLIC OF",SEOUL,韩国,韩国,2,0,16.01194866250559,8.870230280248608
6,MALAYSIA,KUALA LUMPUR,马来西亚,马来西亚,3,3,49.79989904781451,27.106260339720556
7,NEPAL,KATHMANDU,尼泊尔,尼泊尔,1,0,20.02563636391712,13.656719692751231
8,THAILAND,BANGKOK,泰国,泰国,5,1,54.581789578607015,42.558096872050044
9,UNITED STATES,WASHINGTON,美国,美国,2,0,480.499004202442,1109.0039059704707
10,VIETNAM,HA NOI,越南,越南,2,0,49.97056195189593,27.025888705025615
11,Singapore,,新加坡,新加坡,4,1,1.2689056078172032,0.10466184494510426
