OBJECTID,globe_中文名,name_cn,gb_yq_20200307xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,gb_yq_20200307xls_新增死亡,Shape_Length,Shape_Area
1,阿尔及利亚,阿尔及利亚,1,阿尔及利亚,17,5,0,0,68.11289203523224,213.6824817901263
2,阿富汗,阿富汗,2,阿富汗,1,0,0,0,46.10315447724969,61.25874997452199
3,阿根廷,阿根廷,3,阿根廷,2,1,0,0,124.43384391102639,278.07097318538524
4,阿联酋,阿联酋,4,阿联酋,45,18,0,0,15.781914584221616,7.623950770634311
5,阿曼,阿曼,5,阿曼,16,0,0,0,30.60536529088686,26.863630254245184
6,阿塞拜疆,阿塞拜疆,6,阿塞拜疆,9,6,0,0,20.694081153422545,8.877991750422158
7,埃及,埃及,7,埃及,3,0,0,0,46.51183683093997,88.79406872386022
8,爱尔兰,爱尔兰,8,爱尔兰,18,4,0,0,25.60628985993701,9.67974515082728
9,爱沙尼亚,爱沙尼亚,9,爱沙尼亚,10,7,0,0,19.427155810421777,6.571056220254507
10,安道尔,安道尔,10,安道尔,1,0,0,0,1.148365581641772,0.048186015059485804
11,奥地利,奥地利,11,奥地利,66,19,0,0,19.785455433542936,9.894883715319143
12,澳大利亚,澳大利亚,12,澳大利亚,62,5,2,0,218.54706975542805,697.4668706949112
13,巴基斯坦,巴基斯坦,13,巴基斯坦,5,0,0,0,71.22729220349414,74.32325893852614
14,巴林,巴林,14,巴林,49,0,0,0,0.7772869774829815,0.017878320008286028
15,巴西,巴西,15,巴西,13,6,0,0,203.68408592836326,713.6777002155402
16,白俄罗斯,白俄罗斯,16,白俄罗斯,6,0,0,0,26.620256515886354,29.22619005212672
17,比利时,比利时,19,比利时,109,59,0,0,9.590603160642818,3.8561271050731585
18,冰岛,冰岛,21,冰岛,45,19,0,0,44.847522370830106,19.530864421033492
19,波兰,波兰,23,波兰,5,4,0,0,29.423172375593367,41.04475511016577
20,不丹,不丹,24,不丹,1,0,0,0,8.209429426612896,3.265604484775075
21,丹麦,丹麦,25,丹麦,23,5,0,0,26.661887386371166,6.24551876266293
22,德国,德国,26,德国,639,105,0,0,43.899459389523734,46.496000691781006
23,多哥,多哥,27,多哥,1,1,0,0,12.905585097384508,4.596587935937527
24,多米尼加,多米尼加,28,多米尼加,1,0,0,0,11.055731619200202,4.114215997556154
25,俄罗斯,俄罗斯,29,俄罗斯,7,3,0,0,1086.6226050090904,2913.4201356909866
26,厄瓜多尔,厄瓜多尔,30,厄瓜多尔,14,1,0,0,31.184868452122494,20.283979588690894
27,法国,法国,31,法国,613,193,9,3,65.84948177344266,66.25266750373707
28,梵蒂冈,梵蒂冈,32,梵蒂冈,1,1,0,0,0.7842750336300661,0.014991910040506387
29,菲律宾,菲律宾,33,菲律宾,5,0,1,0,104.06761462124311,23.03913329305567
30,芬兰,芬兰,34,芬兰,19,7,0,0,54.27434433195834,62.15277280808904
31,哥伦比亚,哥伦比亚,35,哥伦比亚,1,1,0,0,61.59567021749172,92.59563807972012
32,格鲁吉亚,格鲁吉亚,36,格鲁吉亚,9,0,0,0,15.20674687353579,7.632983375562627
33,韩国,韩国,37,韩国,6767,483,44,2,17.98289336983087,9.888493694113702
34,荷兰,荷兰,38,荷兰,128,46,1,1,18.333355500570594,4.0540087645325915
35,加拿大,加拿大,39,加拿大,51,6,0,0,1539.468150466872,1671.6081244929162
36,柬埔寨,柬埔寨,40,柬埔寨,1,0,0,0,18.63402528346828,15.451451733370222
37,捷克,捷克,41,捷克,12,0,0,0,15.818643910981182,9.585600844794435
38,喀麦隆,喀麦隆,43,喀麦隆,2,1,0,0,38.62394925249105,38.73945937697286
39,卡塔尔,卡塔尔,42,卡塔尔,11,3,0,0,4.7873525990949535,1.1415420848891193
