OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20210831xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,222,中国,123068,25,5683,1,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,221,中非,11296,26,100,1,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,220,智利,1638330,501,36923,38,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,219,直布罗陀,5342,4,97,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,218,乍得,4993,0,174,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,217,泽西岛,9249,0,77,0,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,216,赞比亚,206145,94,3599,3,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,215,越南,449489,14224,11064,315,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,214,约旦,796259,1098,10398,15,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,213,英国,6757654,26227,132485,48,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,212,印度尼西亚,4089801,10534,133023,532,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,211,印度,32768880,30941,438560,350,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,210,意大利,4534499,4253,129146,53,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,209,以色列,1064665,10947,7043,9,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,208,伊朗,4960744,33780,107151,669,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,207,伊拉克,1881213,6778,20764,65,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,206,也门,7829,45,1469,8,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,205,亚美尼亚,242135,524,4844,14,9.904000073855808,3.665524679494105
19,19,牙买加,牙买加,4.82798122279,204,牙买加,67402,739,1510,6,4.827981222792307,0.8247678758169106
20,20,叙利亚,叙利亚,20.6286198894,203,叙利亚,27779,125,2007,4,20.628619889358337,18.555305741023673
21,21,匈牙利,匈牙利,17.8172786283,202,匈牙利,812337,110,30058,1,17.81727862828512,10.96767898880457
22,22,新西兰,新西兰,58.3041653664,201,新西兰,3213,50,26,0,58.304165366366284,29.63120638720386
23,23,新喀里多尼亚,新喀里多尼亚,0.315384694174,200,新喀里多尼亚,136,0,0,0,0.3153846941739794,0.0043535203997104345
24,24,新加坡,新加坡,1.95533073363,199,新加坡,67459,155,55,0,1.9553307336349242,0.2523737098666097
25,25,希腊,希腊,58.4703424345,198,希腊,583658,2343,13656,20,58.47034243451138,12.923495647177484
26,27,西班牙,西班牙,55.1188411759,197,西班牙,4847298,1362,84146,16,55.118841175901764,54.280343511511816
27,28,乌兹别克斯坦,乌兹别克斯坦,60.5666233837,196,乌兹别克斯坦,156394,755,1082,7,60.5666233837278,45.83407503762229
28,29,乌拉圭,乌拉圭,16.9417479676,195,乌拉圭,384692,70,6029,2,16.941747967566673,17.708958502391088
29,30,乌克兰,乌克兰,63.0581799997,194,乌克兰,2286296,1356,53789,51,63.05817999968692,73.69212728191064
30,31,乌干达,乌干达,19.6610128947,193,乌干达,99318,93,3006,15,19.661012894744616,18.979199764248577
31,32,文莱,文莱,4.61752042414,192,文莱,2641,76,8,0,4.61752042414165,0.4896262132202988
32,33,委内瑞拉,委内瑞拉,58.5555637342,191,委内瑞拉,333125,953,3998,12,58.55556373422501,75.57584372702944
33,34,维尔京群岛,维尔京群岛,1.38853153158,190,维尔京群岛,2568,0,37,0,1.3885315315819444,0.020042683177038677
34,35,危地马拉,危地马拉,15.3555100892,189,危地马拉,465799,2046,11886,68,15.355510089228543,9.31605558714351
