OBJECTID,NAME,CAPITAL,name_cn,OBJECTID1,地区国家,累计确诊,新增确诊,Shape_Length,Shape_Area
1,AFGHANISTAN,KABUL,阿富汗,2,阿富汗,1,0,44.39791672042403,61.77838504385045
2,ALGERIA,ALGIERS,阿尔及利亚,1,阿尔及利亚,1,0,64.78983603064924,211.07810982477505
3,AUSTRALIA,CANBERRA,澳大利亚,7,澳大利亚,23,0,206.4865949311044,697.1114800574247
4,AUSTRIA,VIENNA,奥地利,8,奥地利,2,0,18.905693502473344,9.735114934724765
5,BELGIUM,BRUSSELS,比利时,13,比利时,1,0,9.726358516656175,3.4906112792500434
6,BRAZIL,BRASILIA,巴西,11,巴西,1,1,164.12452251137518,707.1395292690265
7,CAMBODIA,PHNOM PENH,柬埔寨,23,柬埔寨,1,0,17.283266000242786,15.09745870404986
8,CANADA,OTTAWA,加拿大,22,加拿大,11,1,1555.8759270941462,1647.7500982682654
9,CHINA,BEIJING,中国,48,中国,78959,329,248.8216693624411,958.1973887475898
10,CROATIA,ZAGREB,克罗地亚,25,克罗地亚,3,1,22.812406876081635,6.473345062440212
11,DENMARK,COPENHAGEN,丹麦,14,丹麦,1,1,20.984591407458968,4.780220801379913
12,EGYPT,CAIRO,埃及,5,埃及,1,0,49.65185598660022,91.19834555634189
13,ESTONIA,TALLINN,爱沙尼亚,6,爱沙尼亚,1,1,12.458160889657083,6.39265751952232
14,FINLAND,HELSINKI,芬兰,19,芬兰,2,1,49.60063770424547,62.02673094352433
15,FRANCE,PARIS,法国,17,法国,18,6,52.88291275416734,65.77613102716322
16,GEORGIA,TBILISI,格鲁吉亚,20,格鲁吉亚,1,1,16.746239844669926,7.329909273643759
17,GERMANY,BERLIN,德国,15,德国,21,3,40.21621537581479,46.02332184825026
18,GREECE,ATHENS,希腊,39,希腊,1,1,39.99982541227063,12.204790855850106
19,INDIA,NEW DELHI,印度,45,印度,3,0,139.9762158568565,279.551567762552
20,IRAN,TEHRAN,伊朗,42,伊朗,141,46,64.97647898598436,156.9243202616742
21,IRAQ,BAGHDAD,伊拉克,41,伊拉克,6,1,30.75412137504154,43.00595817705017
22,ISRAEL,JERUSALEM,以色列,43,以色列,2,0,9.788229380472943,2.315831294035185
23,ITALY,ROME,意大利,44,意大利,400,78,58.821775343843065,33.8576392138523
24,JAPAN,TOKYO,日本,33,日本,186,22,81.93419085400431,38.97019479375141
25,"KOREA, REPUBLIC OF",SEOUL,韩国,21,韩国,1766,505,16.01194866250559,8.870230280248608
26,KUWAIT,KUWAIT,科威特,24,科威特,43,31,6.643082132156529,1.5868963288747104
27,LEBANON,BEYROUTH,黎巴嫩,26,黎巴嫩,2,1,4.281005656459998,0.757334093875028
28,MALAYSIA,KUALA LUMPUR,马来西亚,28,马来西亚,22,0,49.79989904781451,27.106260339720556
29,NEPAL,KATHMANDU,尼泊尔,30,尼泊尔,1,0,20.02563636391712,13.656719692751231
30,NORWAY,OSLO,挪威,31,挪威,1,1,237.4227786521175,77.90049586680038
31,OMAN,MUSCAT,阿曼,4,阿曼,4,0,26.02143315594352,28.39426364676298
32,PAKISTAN,ISLAMABAD,巴基斯坦,9,巴基斯坦,2,2,57.33372751374997,75.43359703027468
33,PHILIPPINES,MANILA,菲律宾,18,菲律宾,3,0,78.00998268593636,22.26058326517528
34,ROMANIA,BUCURESTI,罗马尼亚,27,罗马尼亚,1,1,24.401269642290146,27.38647333444998
35,RUSSIAN FEDERATION,MOSCOW,俄罗斯,16,俄罗斯,2,0,1018.4494722665427,2909.6137863925564
36,SPAIN,MADRID,西班牙,38,西班牙,12,10,39.510725651688084,52.655416386525594
37,SRI LANKA,COLOMBO,斯里兰卡,36,斯里兰卡,1,0,12.089329830229625,4.790627305949876
38,SWEDEN,STOCKHOLM,瑞典,34,瑞典,2,1,60.65674147183005,77.7613184096759
39,SWITZERLAND,BERN,瑞士,35,瑞士,1,0,12.401538231238309,4.980928708144593
40,THAILAND,BANGKOK,泰国,37,泰国,40,0,54.581789578607015,42.558096872050044
41,UNITED ARAB EMIRATES,ABU DHABI,阿联酋,3,阿联酋,13,0,17.674853161960147,8.42085123990175
42,UNITED KINGDOM,LONDON,英国,46,英国,13,0,66.53107646064396,30.733379083350727
43,UNITED STATES,WASHINGTON,美国,29,美国,59,6,480.499004202442,1109.0039059704707
44,VIETNAM,HA NOI,越南,47,越南,16,0,49.97056195189593,27.025888705025615
45,Singapore,,新加坡,40,新加坡,93,2,1.2689056078172032,0.10466184494510426
46,,,其他,32,其他,705,14,0.47041055884463034,0.013365553414913307
